P,Z
16.467,1.152908136
16.5,1.153822257
16.533,1.154734172
16.567,1.155687841
16.6,1.156595292
16.633,1.157500559
16.667,1.158473159
16.7,1.159374
16.733,1.160298436
16.767,1.161264214
16.8,1.162184241
16.833,1.163076387
16.867,1.164061131
16.9,1.164974639
16.933,1.165886013
16.967,1.166864032
17,1.16777108
17.033,1.168676016
17.067,1.169673039
17.1,1.170573685
17.133,1.17149788
17.167,1.172488274
17.2,1.173408196
17.233,1.174326032
17.267,1.175309855
17.3,1.176223461
17.333,1.177135002
17.367,1.178137903
17.4,1.179045248
17.433,1.179976113
17.467,1.180972535
17.5,1.181873674
17.533,1.182798329
17.567,1.183788336
17.6,1.184734381
17.633,1.185652871
17.667,1.186636514
17.7,1.187576412
17.733,1.188488798
17.767,1.189491627
17.8,1.190425431
17.833,1.191357239
17.867,1.192353791
17.9,1.193281553
17.933,1.194207338
17.967,1.195197673
18,1.19611945
18.033,1.197064704
18.067,1.198074304
18.1,1.198990139
18.133,1.19992945
18.167,1.200932918
18.2,1.201868271
18.233,1.202801689
18.267,1.203799077
18.3,1.20475396
18.333,1.205681532
18.367,1.20667289
18.4,1.207621946
18.433,1.20856909
18.467,1.209554469
18.5,1.210497746
18.533,1.211439128
18.567,1.212443923
18.6,1.213381468
18.633,1.214342466
18.667,1.215341362
18.7,1.216298542
18.733,1.217228534
18.767,1.218246896
18.8,1.219173113
18.833,1.220122787
18.867,1.221135335
18.9,1.222081253
18.933,1.223025332
18.967,1.224032113
19,1.224997749
19.033,1.225936277
19.067,1.226937337
19.1,1.227897441
19.133,1.228855729
19.167,1.229851112
19.2,1.230805728
19.233,1.231758543
19.267,1.232773546
19.3,1.233722715
19.333,1.234670099
19.367,1.235704743
19.4,1.236648508
19.433,1.237590502
19.467,1.238619583
19.5,1.239583211
19.533,1.240519857
19.567,1.241543418
19.6,1.242501716
19.633,1.243458266
19.667,1.24447635
19.7,1.24542936
19.733,1.246380636
19.767,1.247418484
19.8,1.248366245
19.833,1.249312286
19.867,1.250344734
19.9,1.251312473
19.933,1.252253318
19.967,1.253280407
20,1.25424297
