6374,6,,,,,,,,,
LCD,PLD,AGSA,Density,VF,dH,LNG-ANG_WC,ANG_WC,5bar,6bar,65bar
10.19292,9.32537,2120.17,0.807744,0.677,-16.45759952,229.1525537,128.05319,61.38933179,290.5418855,189.4425218
7.14066,5.08524,1051.86,1.32285,0.5322,-20.05483605,109.0165329,56.18693615,76.92475495,185.9412878,133.1116911
6.3306,4.52097,1176.44,1.12223,0.5702,-21.43818466,108.0749114,66.17435736,69.29801384,177.3729252,135.4723712
6.43864,4.7481,1159.23,1.12574,0.5758,-21.55171843,108.7240003,64.89478948,69.19241582,177.9164161,134.0872053
8.81515,6.86051,1637.43,1.02206,0.619,-23.40068082,167.69777,93.0353026,103.0762232,270.7739932,196.1115258
5.94533,4.22739,1850.89,0.978122,0.6112,-19.7312418,133.9097006,72.21824927,99.48403073,233.3937313,171.70228
5.92566,5.81418,348.21,1.68224,0.4054,-19.5766622,27.85461949,13.86853414,35.56640897,63.42102846,49.43494311
9.08566,8.61929,2697.6,0.761887,0.71,-14.81721404,233.8691832,146.0747696,74.78293135,308.6521145,220.8577009
7.73482,5.71785,1668.18,0.979448,0.588,-16.78070464,138.6519245,102.1057498,82.70618411,221.3581086,184.8119339
6.22372,3.91421,1013.29,1.15294,0.5206,-21.55290398,60.74435182,39.26506452,98.45763718,159.201989,137.7227017
7.35611,4.95787,1676.8,0.959141,0.5782,-19.46401824,117.0437614,70.96697583,89.82327757,206.867039,160.7902534
5.96671,4.7743,1731.99,0.9597,0.5958,-25.63007356,125.8806647,67.5313433,103.9422482,229.8229129,171.4735915
8.69504,5.47442,2572.85,0.784292,0.6382,-17.43327849,212.6829901,117.6219307,86.243491,298.9264811,203.8654217
12.57098,10.82742,2769.29,0.647122,0.7402,-9.924585523,314.4538742,136.5435722,19.22863788,333.6825121,155.7722101
10.92956,6.85619,2253.69,0.99837,0.6896,-15.70173377,256.6602476,144.3948309,80.44797677,337.1082244,224.8428077
12.6138,8.71559,3357.77,0.583675,0.767,-16.38240367,314.9631874,162.0430561,46.02968961,360.992877,208.0727457
5.63222,4.90729,953.171,1.43768,0.568,-18.99241518,88.70062066,45.66643586,88.20349564,176.9041163,133.8699315
6.16099,5.90611,2090.61,1.08253,0.6752,-14.98969688,187.0889696,105.9875966,83.00216897,270.0911386,188.9897656
5.46218,4.59563,734.196,1.83317,0.576,-22.05716144,54.7569397,25.3779992,115.546202,170.3031417,140.9242012
6.0722,4.11181,1302.94,1.16455,0.582,-19.1258681,104.6616544,55.01987703,82.95895757,187.620612,137.9788346
4.44036,3.90831,222.279,2.24993,0.401,-23.73077573,22.65174854,15.83782408,50.23172975,72.88347829,66.06955383
6.64772,5.99382,1720.25,0.950698,0.611,-18.87752756,135.3196039,66.3706081,104.4616604,239.7812643,170.8322685
9.26829,6.21673,3181.91,0.759287,0.7146,-15.88503468,248.8841798,150.2485023,95.08784551,343.9720253,245.3363478
9.74824,6.48486,1990.08,0.987316,0.6422,-14.82170788,231.7854338,123.8807407,54.33705981,286.1224936,178.2178005
5.55847,4.74922,591.503,1.42546,0.4554,-23.70938697,60.0267966,28.5756194,71.6969889,131.7237855,100.2726083
5.2765,4.32303,780.005,1.36723,0.5024,-22.65699234,96.69055656,51.30766836,77.74410724,174.4346638,129.0517756
7.12611,4.89301,423.782,1.98392,0.4314,-21.42805382,58.29739172,51.34160282,77.30772198,135.6051137,128.6493248
6.71352,5.54656,914.419,1.08988,0.4838,-19.36639562,73.18452389,40.55639217,59.05736731,132.2418912,99.61375948
12.44175,5.68721,1353.93,1.36653,0.6688,-14.58431802,207.926669,137.2030992,77.2916714,285.2183404,214.4947706
12.66083,6.06668,1095.4,1.67189,0.6538,-17.81142876,179.5010541,102.3167094,137.694654,317.1957081,240.0113634
12.29122,5.45987,1308.94,1.37764,0.6496,-14.45960148,201.1203749,139.9454095,69.86382765,270.9842025,209.8092371
7.84676,5.60251,1793.93,1.07223,0.6224,-17.38853021,173.3706774,96.4969167,111.4120007,284.7826781,207.9089174
5.91075,5.20074,1546.98,1.2556,0.6358,-14.52224576,185.874702,93.35165177,53.70636783,239.5810698,147.0580196
5.15455,4.85632,395.845,1.95651,0.4138,-20.61514256,84.64510664,49.71277224,60.28836076,144.9334674,110.001133
9.50139,9.18984,1019.53,1.14308,0.5596,-15.26521745,134.9617399,79.86038504,65.07281416,200.0345541,144.9331992
5.94406,5.31262,1808.02,0.925851,0.5828,-21.03196365,93.7282413,49.7978102,121.9537715,215.6820128,171.7515817
4.84557,3.80044,867.108,1.15061,0.498,-25.18841076,32.8049819,22.0708831,101.3272134,134.1321953,123.3980965
7.01714,4.33707,716.43,1.42761,0.528,-31.22015285,58.6489253,33.347879,150.7224578,209.3713831,184.0703368
5.04792,4.38484,814.426,1.30477,0.5004,-23.11479367,62.88897671,34.41510171,83.30234079,146.1913175,117.7174425
11.92678,5.98269,3766.22,0.64997,0.761,-16.14698198,315.8971588,185.1044723,56.26095077,372.1581096,241.3654231
8.58065,5.8094,4035.37,0.697286,0.7542,-13.6072404,286.0709071,171.8858399,66.2568733,352.3277804,238.1427132
18.06508,7.13825,3701.13,0.600782,0.783,-13.84177415,346.1167025,185.1035083,52.34030232,398.4570048,237.4438106
18.20917,7.10984,3730.3,0.592075,0.783,-13.56598708,344.1248912,190.2198551,51.79505281,395.919944,242.0149079
8.89229,8.87656,732.874,1.69743,0.594,-10.93505036,138.7952644,72.15780572,16.54098834,155.3362527,88.69879406
9.46461,9.44604,915.616,1.508,0.6294,-9.882935496,142.2271097,71.49772565,12.79458392,155.0216936,84.29230957
6.17139,3.91412,467.985,1.43262,0.4726,-21.79573462,64.13343362,55.06935712,88.16294568,152.2963793,143.2323028
7.8603,5.01976,2049.12,0.979833,0.6394,-16.18575007,183.3314438,115.3492511,81.36200245,264.6934462,196.7112535
6.38387,5.75713,1021.37,1.33865,0.5492,-13.87685871,183.0524541,99.22990393,25.81790717,208.8703613,125.0478111
6.86569,5.12412,832.898,1.19169,0.537,-12.17175552,130.4801878,62.99409906,18.42712039,148.9073082,81.42121945
5.59976,4.84057,1107.49,1.49156,0.571,-17.03290766,129.2413989,72.40121978,27.36530592,156.6067048,99.7665257
6.08943,4.42337,921.959,1.4324,0.5424,-20.13000129,109.9168817,58.12148522,95.40128668,205.3181684,153.5227719
8.54387,6.77342,5085.74,0.56692,0.7934,-11.72365911,335.8561239,188.6198374,44.7403113,380.5964352,233.3601487
18.75501,13.37911,3463.71,0.425946,0.8336,-10.1255095,362.7115321,152.3375923,19.9713521,382.6828842,172.3089444
7.81513,5.26988,2283.71,0.929552,0.6652,-16.30258433,205.5058138,110.9999933,90.23928596,295.7450998,201.2392793
6.8318,3.73291,1193.73,1.05182,0.5338,-20.6039407,91.7022896,62.3154379,92.2210007,183.9232903,154.5364386
6.60314,5.66314,583.026,1.49249,0.4392,-21.66391531,69.97651135,26.91518135,62.51527295,132.4917843,89.4304543
6.75078,5.80845,622.056,1.48103,0.4398,-21.26853208,108.6385778,33.75254266,64.19568561,172.8342634,97.94822827
6.93247,6.0951,658.174,1.45916,0.4598,-20.63044029,133.4641694,42.19489628,71.22546002,204.6896294,113.4203563
11.03089,9.17864,1249.73,1.00746,0.6048,-23.4525716,163.4608277,94.59227573,72.11990667,235.5807344,166.7121824
11.39418,11.07263,1276.27,0.982365,0.6124,-23.31489758,171.038897,97.7801429,66.9020373,237.9409343,164.6821802
11.07211,9.50667,1283.28,0.988926,0.6132,-23.49963532,165.82889,94.10910548,69.07976492,234.9086549,163.1888704
11.21563,10.87494,1278.57,0.985981,0.6026,-23.70777369,176.0696312,97.11727425,66.19501615,242.2646473,163.3122904
6.42874,5.80877,498.243,1.40393,0.4248,-17.80096067,59.13640697,38.51548723,39.63283072,98.76923769,78.14831795
4.82905,4.48972,648.979,1.16972,0.4596,-24.1996321,34.52808251,20.76819669,62.27620722,96.80428973,83.04440391
5.11388,4.36379,735.801,1.34461,0.4928,-21.50943601,104.2200232,64.36209081,63.20953519,167.4295584,127.571626
4.74814,3.78436,418.038,1.30283,0.4486,-27.23509493,17.55690562,15.59489416,75.49832913,93.05523475,91.09322329
9.98598,8.78636,3144.95,0.771567,0.7126,-16.76515491,237.1290527,137.0949073,82.99116299,320.1202157,220.0860703
10.40349,8.69532,1565.42,0.914151,0.6498,-14.51289116,233.884076,120.5583078,39.09115835,272.9752343,159.6494661
8.64297,7.79614,1368.83,1.02442,0.5964,-15.95963712,159.315764,85.81025345,50.58103275,209.8967967,136.3912862
5.09322,4.44244,390.237,1.49981,0.4068,-22.60611337,50.93540297,28.05543266,45.29156056,96.22696353,73.34699322
12.8003,5.50166,2698.05,0.784559,0.7198,-20.50670091,273.0755552,158.0784088,86.08667177,359.162227,244.1650806
7.28969,4.98752,2990.19,0.833729,0.6952,-16.24135968,219.0838276,127.5765788,98.29320006,317.3770277,225.8697789
7.80429,5.88473,2885.95,0.800823,0.6928,-15.46311344,239.3836012,134.7488258,85.4449834,324.8285846,220.1938092
14.4419,10.2051,4708.57,0.443469,0.8326,-11.30651453,384.4916142,185.0073109,32.58662446,417.0782387,217.5939354
13.85309,6.75838,4060.62,0.567973,0.7948,-12.54733991,358.3753463,194.7925351,51.27286768,409.648214,246.0654028
11.39005,7.08849,4228.07,0.58467,0.7898,-13.32922481,346.0371779,196.3769446,58.28043841,404.3176163,254.657383
8.23346,6.98845,3627.17,0.68036,0.7386,-15.29201105,290.2038729,168.5696493,84.79942306,375.003296,253.3690724
5.65344,4.07573,1763.34,1.00727,0.6264,-20.473658,142.0421158,84.0856784,113.99562,256.0377358,198.0812984
12.00094,11.06312,1061.95,0.965457,0.6016,-31.01925204,165.9263221,84.43590825,63.72466035,229.6509824,148.1605686
5.40727,4.06272,910.333,1.31041,0.513,-23.41516297,66.6394297,28.3395406,100.2851817,166.9246114,128.6247223
4.93858,3.80274,619.731,1.49581,0.4876,-23.4305684,59.93178331,36.01726501,83.13568329,143.0674666,119.1529483
24.7893,14.09199,5147.71,0.298214,0.8874,-9.078170409,346.4627799,131.1282893,18.35338284,364.8161627,149.4816721
5.54395,4.66139,871.62,1.46355,0.5148,-23.48963356,63.5031059,34.7503257,108.1359061,171.639012,142.8862318
5.6853,5.37606,1619.58,1.07587,0.6052,-17.30802492,139.5726584,85.1539042,94.0104928,233.5831512,179.164397
6.30636,5.13016,1567.33,1.10057,0.6202,-17.60225668,147.9139161,83.88043421,94.64136379,242.5552799,178.521798
7.60741,6.30843,2282.5,0.861714,0.658,-16.00240397,205.196855,113.0118011,92.68271712,297.8795721,205.6945182
5.00071,3.74213,336.026,2.31618,0.406,-33.41326791,7.87896444,0.94457726,94.36039146,102.2393559,95.30496872
8.64919,5.459,1181.86,0.934501,0.5626,-16.98790248,121.6240317,71.81027306,50.60092914,172.2249608,122.4112022
15.56875,9.80847,1644.67,0.777237,0.7198,-18.42175431,309.176297,161.0977173,70.05274589,379.2290429,231.1504632
15.46142,7.44821,1054.13,1.15975,0.6494,-20.22684864,303.7823639,157.8433025,81.62423728,385.4066012,239.4675398
15.5822,9.65924,1632.89,0.788284,0.712,-18.40210329,305.8338956,155.2740249,67.06259829,372.8964939,222.3366232
15.83521,9.82464,1701.44,0.749306,0.7222,-17.40719865,319.2423516,161.0259832,61.53489855,380.7772501,222.5608817
15.71951,9.72839,1670.9,0.76692,0.7184,-17.88219361,318.3459135,156.6564686,64.10627417,382.4521877,220.7627428
9.38154,5.59471,1876.59,1.04219,0.6824,-14.70124359,252.3485008,114.9137004,57.20686459,309.5553654,172.120565
11.41407,10.59979,1314.22,1.19971,0.6588,-14.21203516,245.1098405,145.7246537,73.37243719,318.4822777,219.0970909
11.51533,10.7235,1317.1,1.1988,0.662,-14.16892125,245.7103194,149.2898757,73.70331926,319.4136387,222.993195
9.38408,5.62446,1887.52,1.03958,0.6752,-14.69069104,247.8416854,116.3308042,56.17337579,304.0150612,172.50418
11.3608,10.54479,1315.3,1.19943,0.659,-14.19667091,243.290002,144.9550887,71.46235278,314.7523548,216.4174415
5.98273,5.3868,2211.32,1.18176,0.645,-17.07866739,170.0575972,104.0754018,114.6088447,284.6664419,218.6842465
8.89536,8.62816,2222.3,0.837745,0.6918,-15.79344479,222.1720327,120.4099406,96.80924944,318.9812821,217.21919
7.45121,6.98768,1847.59,0.945343,0.6538,-17.15013799,202.148314,108.6247361,103.7929289,305.9412429,212.417665
5.6675,5.04419,1151.25,1.1688,0.5694,-20.27770365,112.7512544,55.6343864,73.4334285,186.1846829,129.0678149
6.01834,3.95176,1234.53,1.15627,0.5724,-18.48497516,116.0562943,67.85121797,80.27400543,196.3302997,148.1252234
