1081,6,1,,,,,,
Number,Filename,PLD,LCD,Density,ASA_m2_cm3,AV_VF,Kr_heat,Kr_M
28,ARUYUH01_clean,4.11721,4.94052,1.67517,1504.56,0.6094,-20.76141488,4.51943507
29,ASIQIE_clean,6.2555,9.00205,0.893575,1516.45,0.6152,-13.87589915,9.09894954
30,ASOVEL_clean,5.3133,5.72633,1.03379,949.896,0.495,-16.40104861,4.09910918
31,ATIBOU01_clean,4.01813,5.12784,1.59271,1003.99,0.4816,-16.87245487,2.45652424
32,AVAGIP_clean,4.68679,4.84155,1.40449,799.444,0.4578,-17.70384004,2.59865543
33,AVAGUB_clean,4.26622,4.77305,1.33788,1125.79,0.484,-16.59752916,3.88061869
34,AVEROJ_clean,6.81539,7.02712,1.69759,1573.72,0.5918,-14.58879792,3.67020218
35,AVUCEA_clean,4.52481,10.64181,0.89363,2280.68,0.6776,-14.87769513,10.41606629
36,AWAGEL_clean,7.28684,8.54501,0.99094,1266.94,0.599,-13.47627483,6.30208943
37,AWAGOV_clean,4.40002,8.03493,1.14872,740.321,0.4848,-17.79324846,3.66564302
38,AWASOI_clean,4.11557,5.09655,2.36169,945.621,0.4824,-17.1300797,1.79878723
39,AWIBAL_clean,4.4506,4.9496,1.68807,1040.45,0.482,-20.36782154,3.43910325
40,AWOFOI_clean,4.19244,5.44554,1.31908,2093.99,0.5974,-16.02351344,6.87219083
41,AXAFAG_clean,6.13172,6.59817,2.82524,1689.3,0.606,-12.22798329,2.53677224
42,AXIPEE_clean,3.94175,6.41608,1.68088,1551.99,0.574,-15.33294871,4.11178562
43,AXIPEE03_clean,4.0805,6.5428,1.61298,1706.94,0.59,-14.85976482,4.41698503
44,AYOQEM_clean,6.87343,12.16451,0.774775,2322.28,0.7066,-12.35687554,14.03900358
45,AZAWAB_clean,4.89759,5.65614,1.11309,1245.12,0.5586,-18.1273089,4.43691619
46,BADXUC_clean,9.31212,10.5886,0.885545,1836.8,0.6864,-11.51267494,11.0592919
47,BADYAJ_clean,7.13629,8.60576,0.984728,1990.18,0.6528,-12.58563055,9.89200499
48,BAKJII_clean,5.21845,6.19215,0.959339,2059.17,0.6236,-15.80439309,8.66563677
49,BANMAG_clean,7.44113,8.68497,1.37401,1122.97,0.5786,-10.79790865,3.11500093
50,BAWRUO_clean,5.68693,7.29901,2.71918,1447.8,0.5782,-13.69420415,2.4627997
51,BAXSIE_clean,5.06628,5.31376,1.49933,912.911,0.437,-19.02487669,2.68412758
52,BELJIL_clean,5.21436,7.21036,1.28754,867.89,0.459,-15.34878428,3.33939526
53,BEPBAB_clean,3.97632,5.3188,1.04154,1135.05,0.473,-18.31630036,4.78704938
54,BEPLUF_clean,10.45745,10.54661,0.882268,1351.9,0.655,-11.25652298,9.20426022
55,BEPMAM_clean,10.23297,10.35764,0.893987,1370.16,0.63,-11.42862058,9.19751098
56,BEPMIU_clean,9.95473,10.07029,1.02149,1143.41,0.6036,-11.264966,6.93409346
57,BEPNUH_clean,10.2098,10.32563,1.16569,1103.61,0.6056,-10.88081375,5.94007355
58,BEPPIX_clean,9.63706,9.77409,0.990438,1290.67,0.592,-11.81733657,7.69097694
59,BEPPOD_clean,9.89092,10.03622,0.960732,1283.35,0.613,-11.63488478,7.88908455
60,BEPVOJ01_clean,3.97858,5.12362,1.3287,794.481,0.5126,-18.12596234,2.17162097
61,BEXQIF_clean,5.28644,8.04962,0.683962,2466.36,0.7172,-11.05126767,15.01977
62,BEXRAY_clean,5.64009,8.11263,0.639388,2590.56,0.7392,-10.09499406,1.74E+01
63,BEXRUT_clean,4.71424,6.49399,1.07075,1422.45,0.585,-14.91508552,5.97271524
64,BEYSEF_clean,4.74798,5.61731,1.17978,1409.15,0.5534,-15.50099657,5.03214157
65,BIJDUV_clean,5.69718,8.61386,0.896671,1704.44,0.6122,-14.81763101,8.3064662
66,BIPLIX_clean,5.75458,7.36646,1.07595,1632.15,0.6014,-13.69914401,6.38895546
67,BIQVII_clean,4.62031,5.22147,1.62242,863.635,0.4264,-17.92813551,2.49901439
68,BIRMUM_clean,4.6855,5.54904,1.2621,494.559,0.4238,-17.41422834,1.71680606
69,BIWYAH10_clean,5.52874,7.2461,0.722295,2876.07,0.7574,-8.44514164,1.90E+01
70,BIYTEJ_clean,6.39623,6.54525,1.38595,1053.22,0.5308,-16.54089143,3.20409915
71,BOVHEB_clean,4.22597,5.76843,1.21128,1167.42,0.531,-20.80655102,4.23577422
72,BUPVIT_clean,4.11606,9.45259,1.29427,1956.29,0.634,-13.4940619,6.44594602
73,BUVXOG_clean,5.20998,6.82532,1.26745,776.672,0.469,-16.23323252,2.83667858
74,BUVYIB_clean,8.55613,10.88811,0.702067,2220.12,0.6958,-15.40848075,12.21043482
75,BUWGAC_clean,5.51512,5.78007,1.43835,936.162,0.4594,-15.52224142,2.01175618
76,BUWGEG_clean,5.82253,6.35253,1.3312,1290.96,0.5204,-14.3563403,3.74258524
77,CABJEX_clean,4.31087,7.7671,1.11145,1890.09,0.6258,-16.66835247,7.06008022
78,CACKEZ_clean,9.88681,11.25321,0.655086,1691.51,0.7018,-10.93642015,17.2293883
79,CAGXIU_clean,4.76439,5.87273,1.68022,875.321,0.4288,-19.74096443,2.39838702
80,CAJQEL_clean,8.23046,13.93661,0.705662,2053.08,0.7554,-16.29069004,15.47565989
81,CASTEW_clean,5.45003,6.08438,1.74666,1447.28,0.5044,-18.88499544,3.83456145
82,CAVMOD_clean,9.36955,10.28847,0.959454,1312.84,0.585,-16.80568335,6.33719406
83,CAVRAU_clean,6.42877,8.06449,0.994088,1841.55,0.6396,-19.04270817,7.40185895
84,CAVREY_clean,5.30054,7.18071,1.02665,1966.55,0.6398,-18.96307564,7.00797801
85,CAVSUP_clean,5.46806,6.03054,1.37834,1107.72,0.5324,-14.26689722,3.29488647
86,CAVVUS_clean,6.17686,8.70352,1.10684,1589.76,0.6378,-15.39800663,7.09921763
87,CAYBAH_clean,4.06579,5.32479,1.49428,1000.86,0.5026,-16.86860702,3.70202097
88,CAYDOX04_clean,4.99798,5.1544,1.4815,728.429,0.4586,-16.8594223,1.58410465
89,CAYDOX06_clean,5.00689,5.19641,1.4743,740.03,0.4854,-16.82310218,1.58092695
90,CAYKEU_clean,5.51195,6.90917,1.65926,1248.25,0.5378,-15.68822431,3.64923464
91,CAZGIT_clean,3.98397,5.03658,1.74975,597.309,0.4322,-20.62501196,1.89928164
92,CEBDOD_clean,5.15984,5.66465,2.39766,855.034,0.4118,-17.54310042,2.04408419
93,CEGDUO_clean,3.97638,4.82541,1.91831,724.949,0.4724,-17.50678943,1.79010367
94,CEHLAD_clean,5.8901,10.21413,0.853623,2217.93,0.735,-13.01964863,13.59697756
95,CEJCAW_clean,4.81672,5.5108,1.18356,1317.21,0.5646,-15.89522755,4.69100932
96,CELZEA_clean,4.52273,5.3255,1.62985,1218.16,0.5184,-15.62363619,3.82974533
97,CETFOX_clean,5.05783,5.89862,1.36113,1575.61,0.5628,-14.62071276,4.01225376
98,CETFUD_clean,4.1075,4.78644,1.42835,1079.17,0.4914,-18.21989397,3.50069209
99,CETHEQ_clean,7.35018,9.71439,1.06464,1786.46,0.68,-11.5678632,8.3267883
100,CIFMEL_clean,5.76486,8.24371,0.761139,2746.38,0.7488,-9.921876612,1.86E+01
101,CIJVOH_clean,4.40026,5.67314,1.44318,2399.39,0.687,-12.89415895,7.55348941
102,CIJVOH01_clean,4.43683,5.72943,1.42641,2600.15,0.6914,-12.76715695,8.16705147
103,CIPCUB_clean,3.99723,4.79005,1.72886,1140.31,0.5,-19.01704366,2.77092111
104,CISXEJ_clean,5.25443,8.40281,0.998279,1037.93,0.5322,-20.0476675,4.94539231
105,CIXCAO_clean,7.79803,8.41278,1.20596,2061.81,0.6754,-13.57617267,6.82437825
106,CIZMIJ_clean,4.91458,6.80411,0.777083,2425.06,0.6814,-14.97904394,11.13475796
107,COBWEV_clean,4.21092,5.55668,1.63609,377.557,0.4574,-15.35092186,1.52340814
108,CODNAM_clean,3.97634,4.57469,1.63521,1494.85,0.5962,-19.69467441,5.5408328
109,COKPEZ_clean,10.69952,11.53314,0.910755,1588.72,0.66,-13.06631359,12.46038908
110,COKQAW_clean,10.61593,11.31709,1.308,1523.61,0.6476,-12.17511465,8.26173354
111,COSMII_clean,7.45633,8.75515,0.883978,2550.25,0.6928,-15.53655158,9.85293599
112,COVPAG_clean,4.22302,5.03463,1.34292,669.782,0.3872,-19.17584487,3.63732074
113,COWBEX_clean,4.95411,5.58641,1.71799,525.99,0.4268,-18.08171089,1.08266317
114,COWMEH_clean,5.53249,6.75649,1.20645,2145.39,0.6618,-12.44163504,7.55106414
115,COWMOR_clean,5.5633,6.72492,1.24692,2127.23,0.644,-12.92171567,7.35153695
116,COYCEZ_clean,4.25857,6.30223,1.16488,1753.9,0.5836,-14.86040263,5.78268406
117,COYCID_clean,6.95581,9.57313,0.931123,1860.71,0.6788,-11.3385749,10.75703791
118,CUBBEI_clean,8.34849,11.31649,0.659609,2013.12,0.737,-10.70536908,2.04E+01
