index,SMILE,FractionCSP3,SMR_VSA7,SlogP_VSA6,IP,HomoLumoGap,MinAbsEStateIndex,SlogP_VSA5,PEOE_VSA11,fr_ester,PEOE_VSA10,LF
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,1.0,0.0,0.0,0.40716058,0.28124,3.2538580246913575,0.0,0.0,0,0.0,1.803457116
57,C(C(F)(Cl)Cl)(F)(F)Cl,1.0,0.0,0.0,0.42040364,0.29286,3.6859567901234565,0.0,0.0,0,0.0,1.968482949
58,C(C(F)(Cl)Cl)(F)(F)F,1.0,0.0,0.0,0.43024014,0.29392,3.983024691358024,0.0,0.0,0,0.0,2.021189299
59,C(C(F)(Cl)Cl)(F)Cl,1.0,0.0,0.0,0.40705172,0.28215,2.36496913580247,0.0,0.0,0,0.0,0.491361694
60,C(C(F)(Cl)Cl)F,1.0,0.0,0.0,0.41872573,0.29288,1.3649691358024691,0.0,6.674590972274908,0,0.0,0.612783857
61,C(C(F)(F)Br)(F)(F)Br,1.0,0.0,0.0,0.39522931,0.24622,1.46875,0.0,0.0,0,0.0,1.447158031
62,C(C(F)(F)Cl)(Cl)Cl,1.0,0.0,0.0,0.40670093,0.28432,1.8248456790123464,0.0,4.836269690250055,0,0.0,-0.045757491
63,C(C(F)(F)Cl)(F)(F)Cl,1.0,0.0,0.0,0.43310363,0.32408,3.793981481481481,0.0,0.0,0,0.0,2.276461804
64,C(C(F)(F)Cl)(F)(F)F,1.0,0.0,0.0,0.4565249,0.33644,3.550925925925925,0.0,0.0,0,0.0,2.73239376
65,C(C(F)(F)Cl)(F)Cl,1.0,0.0,0.0,0.42559675,0.31698,2.797067901234569,0.0,0.0,0,0.0,0.602059991
66,C(C(F)(F)F)(C(F)(F)F)(F)F,1.0,0.0,0.0,0.465475764,0.42021,6.578125,0.0,0.0,0,0.0,3.414973348
67,C(C(F)(F)F)(C(F)(F)F)F,1.0,0.0,0.0,0.46716158,0.41225,4.7361111111111125,0.0,0.0,0,0.0,1.556302501
68,C(C(F)(F)F)(Cl)Br,1.0,0.0,0.0,0.40330832,0.25572,1.9166666666666672,0.0,4.286355892341143,0,0.0,0.0
69,C(C(F)(F)F)(Cl)Cl,1.0,0.0,0.0,0.42308256,0.29568,2.2569444444444455,0.0,0.0,0,0.0,0.113943352
70,C(C(F)(F)F)(F)(F)F,1.0,0.0,0.0,0.494092245,0.47485,6.0625,0.0,0.0,0,0.0,4.0
71,C(C(F)(F)F)(F)Br,1.0,0.0,0.0,0.41074817,0.27328,1.703125,0.0,0.0,0,0.0,0.462397998
72,C(C(F)(F)F)(F)Cl,1.0,0.0,0.0,0.434961906,0.32506,3.229166666666668,0.0,0.0,0,0.0,0.770852012
73,C(C(F)(F)F)(F)F,1.0,0.0,0.0,0.466143167,0.43772,4.20138888888889,0.0,0.0,0,0.0,1.477121255
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,1.0,0.0,0.0,0.44524624,0.41176,1.798541666666667,0.0,0.0,0,0.0,1.773786445
75,C(C(F)(F)F)(OC(F)(F)F)F,1.0,0.0,0.0,0.463875284,0.44026,2.010416666666667,0.0,0.0,0,0.0,1.738780558
76,C(C(F)(F)F)(OC(F)F)F,1.0,0.0,0.0,0.449640889,0.43354,2.4895833333333335,0.0,0.0,0,0.0,1.149219113
77,C(C(F)(F)F)Br,1.0,0.0,0.0,0.40375793,0.27033,0.9166666666666665,0.0,0.0,0,0.0,0.505149978
78,C(C(F)(F)F)C(F)(F)F,1.0,0.0,0.0,0.475636481,0.46237,2.708333333333333,6.4208216229260096,0.0,0,6.4208216229260096,2.328379603
79,C(C(F)(F)F)Cl,1.0,0.0,0.0,0.431566028,0.31956,1.2569444444444442,0.0,0.0,0,5.880003444970339,0.662757832
80,C(C(F)(F)F)F,1.0,0.0,0.0,0.465805406,0.42813,2.2291666666666665,0.0,6.674590972274908,0,0.0,1.146128036
81,C(C(F)(F)F)O,1.0,0.0,0.0,0.41202365,0.36098,1.7291666666666665,0.0,0.0,0,6.606881964512918,-0.339134522
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,1.0,0.0,0.0,0.44815765,0.40703,2.375,0.0,0.0,0,6.606881964512918,0.875061263
83,C(C(F)(F)F)OC(C(F)F)(F)F,1.0,0.0,0.0,0.434114265,0.40175,2.398472222222222,0.0,0.0,0,6.606881964512918,0.785329835
84,C(C(F)(F)F)OC(F)(F)F,1.0,0.0,0.0,0.450522174,0.4162,2.295138888888889,0.0,6.606881964512918,0,0.0,0.875061263
85,C(C(F)(F)F)OC(F)F,1.0,0.0,0.0,0.434837613,0.41141,1.898148148148148,0.0,0.0,0,6.606881964512918,0.740362689
86,C(C(F)(F)F)OC=O,0.6666666666666666,0.0,0.0,0.41206806,0.29053,0.2425694444444444,0.0,6.606881964512918,0,0.0,-0.261219442
87,C(C(F)(F)F)OCC(F)(F)F,1.0,0.0,0.0,0.390384198,0.35659,1.8685416666666663,0.0,0.0,0,13.213763929025836,-0.454692884
88,C(C(F)Cl)(F)Cl,1.0,0.0,0.0,0.41812027,0.31375,2.0771604938271606,0.0,0.0,0,0.0,0.238046103
89,C(C(F)Cl)Cl,1.0,0.0,0.0,0.40263497,0.29848,0.12345679012345667,0.0,5.630857217554624,0,0.0,0.056904851
90,C(C(F)F)(C(F)(F)F)F,1.0,0.0,0.0,0.446135934,0.39126,3.981481481481482,0.0,0.0,0,0.0,1.056904851
91,C(C(F)F)(C(F)F)F,1.0,0.0,0.0,0.425523876,0.38037,3.2962962962962967,0.0,0.0,0,0.0,0.505149978
92,C(C(F)F)(F)F,1.0,0.0,0.0,0.44230689,0.41552,3.481481481481482,0.0,0.0,0,0.0,1.0
93,C(C(F)F)(OC(F)(F)F)F,1.0,0.0,0.0,0.443660829,0.41983,2.2824074074074074,0.0,0.0,0,0.0,0.954242509
