index,SMILE,IP,qed,FractionCSP3,Chi2v,MinAbsEStateIndex,VSA_EState8,fr_alkyl_halide,BCUT2D_LOGPHI,fr_methoxy,SPS,GWP
99,C(C(F)F)OC(F)(F)F,0.421283431,0.54494256749566,1.0,1.1478302830013412,1.59375,-1.59375,5,2.1615295288184844,0,12.666666666666666,2.970346876
100,C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,0.44160814,0.6840651106228234,1.0,1.9790948141144808,1.709490740740741,0.0,9,2.412765912427526,0,15.0,3.57634135
101,C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,0.45755003,0.6693124531950059,1.0,2.013771760842333,1.685115740740741,0.0,9,2.38683358171051,0,16.928571428571427,3.64246452
102,C(C=O)C(F)(F)F,0.384324082,0.46459030395515666,0.6666666666666666,0.9859683890529489,0.16666666666666696,0.0,3,2.161692622226401,0,11.285714285714286,-1.602059991
103,C(CBr)Br,0.36698874,0.5496400415990373,1.0,1.9639610121239308,1.0486111111111112,0.0,2,1.8228633887549897,0,7.5,0.008600172
104,C(CC(F)(F)F)CO,0.383171433,0.5941990765165248,1.0,1.442337765497603,0.19097222222222232,-0.389375,3,2.1989192904119004,0,12.0,-1.30980392
105,C(CCl)Cl,0.397082481,0.4363042365257152,1.0,1.1338934190276815,0.5570987654320989,0.0,2,1.745902114921952,0,7.5,0.113943352
106,C(CF)F,0.435398311,0.4267346251015632,1.0,0.3779644730092271,0.8472222222222223,-1.6944444444444446,2,1.6272868033903742,0,7.5,1.33243846
107,C(CF)O,0.385083898,0.4528643106806505,1.0,0.4125890342545925,0.3472222222222223,-0.9722222222222223,1,1.5356876428595294,0,7.5,-0.27572413
108,C(Cl)(Cl)(Cl)Cl,0.40852219,0.46979553635275456,1.0,3.857142857142857,1.6111111111111107,0.0,4,2.293436919704575,0,12.0,3.342422681
109,C(Cl)(Cl)Cl,0.4066057,0.42785917582286576,1.0,2.226922466874271,0.7499999999999998,0.0,3,2.0323262923561325,0,9.0,1.31386722
110,C(Cl)Br,0.38953315,0.43570756213837314,1.0,1.5746719775034714,0.5347222222222223,0.0,2,1.7819022394103068,0,6.0,0.675778342
