index,SMILE,fr_methoxy,EState_VSA2,PEOE_VSA1,SMR_VSA6,Chi3n,MinPartialCharge,SlogP_VSA2,MinAbsPartialCharge,Chi4n,Chi4v,GWP
31,C(=C\F)\C(F)(F)F,0,0.0,0.0,0.0,0.25197631533948484,-0.2155433616748321,6.176298517443475,0.2155433616748321,0.07142857142857142,0.07142857142857142,-0.501689446
32,C(=CC(F)(F)F)C(F)(F)F,0,0.0,0.0,0.0,0.46129780634256073,-0.16676757809424983,12.35259703488695,0.16676757809424983,0.1889822365046136,0.1889822365046136,1.252853031
33,C(=CCl)C(F)(F)F,0,6.076020106833881,0.0,0.0,0.25197631533948484,-0.16672323335081776,6.176298517443475,0.16672323335081776,0.07142857142857142,0.2142857142857143,-0.342944147
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0,0.0,0.0,0.0,1.7353121142377081,-0.2880536632641491,35.90342948553562,0.2880536632641491,0.7632387540189987,0.7632387540189987,-0.943095149
35,C(Br)(Br)Br,0,2.6457101185676493,0.0,0.0,0.0,-0.06371690512631244,2.6457101185676493,0.06371690512631244,0.0,0.0,-0.602059991
36,C(Br)Br,0,0.0,0.0,4.239357671196846,0.0,-0.08024865081729037,4.239357671196846,0.05878888811867264,0.0,0.0,0.178976947
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0,0.0,0.0,0.0,1.8950629214136196,-0.19210315101369407,36.04271370726526,0.19210315101369407,0.7503617710259314,0.7503617710259314,3.935507266
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0,0.0,0.0,0.0,1.048714546426784,-0.20328785426485033,24.446801598491817,0.20328785426485033,0.32600764842458463,0.32600764842458463,3.460897843
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0,0.0,5.106527394840706,6.606881964512918,1.0139694238158035,-0.38985275170457306,29.73476621298625,0.38985275170457306,0.3066557240788406,0.3066557240788406,1.562292864
40,C(C(C(C(F)(F)F)F)(F)F)O,0,0.0,5.106527394840706,6.606881964512918,0.8689925889535499,-0.3899910801145583,29.983912440401966,0.3899910801145583,0.3195922517237989,0.3195922517237989,1.484299839
