index,SMILE,IP,FractionCSP3,SMR_VSA7,SlogP_VSA6,HomoLumoGap,VSA_EState8,fr_ketone_Topliss,fr_ketone,AvgIpc,EState_VSA6,GWP
179,COC(C(F)(F)F)(F)F,0.432078413,1.0,0.0,0.0,0.41061,0.0,0,0,1.6364527976600283,0.0,2.873320602
180,COC(C(F)(F)F)C(F)(F)F,0.387988684,1.0,0.0,0.0,0.35212,0.0,0,0,1.5603151589862347,0.0,0.910090546
181,COC(C(F)Cl)(F)F,0.402516034,1.0,0.0,0.0,0.32347,0.0,0,0,1.6668127273868607,0.0,2.133538908
182,COC(C(OC(C(OC(C(OC)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.38929453,1.0,0.0,0.0,0.39374,0.0,0,0,2.349734538003892,9.473725907600098,2.340444115
183,COC(F)(F)F,0.433571628,1.0,0.0,0.0,0.42573,0.0,0,0,1.3516441151533922,0.0,2.789580712
184,COCC(C(F)(F)F)(F)F,0.37282148,1.0,0.0,0.0,0.33713,-1.6284722222222223,0,0,1.613308435568507,0.0,0.204119983
185,COCC(C(F)F)(F)F,0.362325373,1.0,0.0,0.0,0.33121,-1.2314814814814814,0,0,1.6503097444942738,0.0,0.225309282
186,COCC(F)(F)F,0.37569168,1.0,0.0,0.0,0.35254,-1.1597222222222223,0,0,1.2958363892911637,0.0,0.31386722
187,FC(F)(F)C(OC(F)F)C(F)(F)F,0.43157393,1.0,0.0,0.0,0.39668,-4.1312500000000005,0,0,1.766634112962296,0.0,3.482873584
188,FC(F)(OC(F)F)C(F)(F)OC(F)F,0.43449436,1.0,0.0,0.0,0.42663,-8.505282501889647,0,0,1.7848213137893962,0.0,3.521138084
189,FC(F)(OC)C(F)(F)OC,0.39352519,1.0,0.0,0.0,0.39965,0.0,0,0,1.876530097501744,0.0,2.305351369
190,FC(F)OC,0.416288795,1.0,0.0,0.0,0.4183,-2.6157407407407405,0,0,1.3787834934861756,0.0,2.133538908
191,FS(F)(F)(F)(F)F,0.536314379,0.0,0.0,0.0,0.33848,0.0,0,0,0.5916727785823274,0.0,4.401400541
192,N(F)(F)F,0.484370715,0.0,0.0,0.0,0.3711,0.0,0,0,0.8112781244591328,0.0,4.240549248
193,O=COC(F)(F)C(F)(F)F,0.420344907,0.6666666666666666,0.0,0.0,0.27934,-0.9647916666666676,0,0,1.613308435568507,0.0,2.775974331
194,O=S(=O)(F)F,0.482147797,0.0,0.0,0.0,0.33379,0.0,0,0,0.7219280948873623,0.0,3.665580991
195,OCCF,0.385074629,1.0,0.0,0.0,0.35533,-0.9722222222222223,0,0,1.370950594454669,0.0,-0.27572413
