index,SMILE,IP,FractionCSP3,SMR_VSA7,SlogP_VSA6,HomoLumoGap,VSA_EState8,fr_ketone_Topliss,fr_ketone,AvgIpc,EState_VSA6,GWP
20,C(=C(F)F)(C(=C(F)F)F)F,0.322808574,0.0,23.815034216370464,23.815034216370464,0.2002,0.0,0,0,1.8406191515407482,0.0,-2.397940009
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,0.5,11.90751710818523,11.90751710818523,0.25522,0.0,0,0,1.829215050497362,0.0,-1.045757491
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.381971942,0.5,11.90751710818523,11.90751710818523,0.26111,0.0,0,0,1.829215050497362,0.0,-0.991399828
23,C(=C(F)F)(C(F)(F)F)F,0.385783705,0.3333333333333333,11.90751710818523,11.90751710818523,0.26608,0.0,0,0,1.6151713102472967,0.0,-1.045757491
24,C(=C(F)F)(F)F,0.367042484,0.0,12.161286457534128,12.161286457534128,0.2841,0.0,0,0,1.3609640474436813,0.0,-2.397940009
25,C(=C(F)F)(OC(F)(F)F)F,0.369837428,0.3333333333333333,12.093577449772138,12.093577449772138,0.27597,0.0,0,0,1.5998182365478808,0.0,-2.0
26,C(=C(F)F)F,0.367537859,0.0,12.410432684949845,12.410432684949845,0.28046,0.0,0,0,1.3787834934861756,0.0,-2.301029996
27,C(=C/Cl)\C(F)(F)F,0.380799562,0.3333333333333333,11.611222035712094,11.611222035712094,0.25117,0.0,0,0,1.2958363892911637,0.0,0.588831726
28,C(=C/Cl)\F,0.357129643,0.0,11.864991385060993,11.864991385060993,0.25675,0.0,0,0,1.370950594454669,0.0,-2.397940009
29,C(=C/F)\C(F)(F)F,0.395292688,0.3333333333333333,12.40580956301666,12.40580956301666,0.27302,0.0,0,0,1.2958363892911637,0.0,0.136720567
30,C(=C\C(F)(F)F)\C(F)(F)F,0.418603578,0.5,12.152040213667762,12.152040213667762,0.26327,0.0,0,0,1.5730118671551043,0.0,0.318063335
31,C(=C\F)\C(F)(F)F,0.394313412,0.3333333333333333,12.40580956301666,12.40580956301666,0.26707,0.0,0,0,1.2958363892911637,0.0,-0.501689446
32,C(=CC(F)(F)F)C(F)(F)F,0.420768808,0.5,12.152040213667762,12.152040213667762,0.27159,0.0,0,0,1.5730118671551043,0.0,1.252853031
33,C(=CCl)C(F)(F)F,0.380799567,0.3333333333333333,11.611222035712094,11.611222035712094,0.25117,0.0,0,0,1.2958363892911637,0.0,-0.342944147
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.40479327,0.8333333333333334,0.0,0.0,0.21221,0.0,1,1,2.0912124264348146,0.0,-0.943095149
35,C(Br)(Br)Br,0.3652842,1.0,0.0,0.0,0.20765,0.0,0,0,0.8112781244591328,0.0,-0.602059991
36,C(Br)Br,0.37603692,1.0,0.0,0.0,0.24224,0.0,0,0,0.9182958340544894,0.0,0.178976947
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.42710509,1.0,0.0,0.0,0.3597,0.0,0,0,2.123974153271652,0.0,3.935507266
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.42810556,1.0,0.0,0.0,0.37523,0.0,0,0,1.8356240554391323,0.0,3.460897843
