index,SMILE,HomoLumoGap,BCUT2D_LOGPLOW,MolMR,fr_halogen,IP,Chi1n,BCUT2D_CHGLO,Chi1v,BCUT2D_MRHI,BertzCT,GWP
32,C(=CC(F)(F)F)C(F)(F)F,0.27159,-2.0680935384432977,21.25,6,0.420768808,2.044577021550641,-1.9933948441087153,2.044577021550641,4.931707369912586,109.66369253840436,1.252853031
33,C(=CCl)C(F)(F)F,0.25117,-1.9868840157156187,21.048,4,0.380799567,1.4071730676779797,-1.9225551348989691,1.8436088481499644,6.249091150544497,72.73943005576992,-0.342944147
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.21221,-2.6560214867922376,31.95800000000001,12,0.40479327,3.721910983287294,-2.3120151014067587,3.721910983287294,5.953330129790654,341.886572833313,-0.943095149
35,C(Br)(Br)Br,0.20765,-1.4890108437736251,30.569,3,0.3652842,0.6546536707079772,-1.703292031531636,3.4016802570830453,9.380183234707753,8.0,-0.602059991
36,C(Br)Br,0.24224,-1.1869848860732388,22.720999999999997,2,0.37603692,0.5345224838248487,-1.4261266256562073,2.777460299317654,9.23647647960053,2.7548875021634682,0.178976947
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.3597,-2.689480169221134,31.898000000000007,14,0.42710509,3.8957513110645894,-2.3708179480446128,3.8957513110645894,5.077602666643276,318.84086807980646,3.935507266
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.37523,-2.551238513503694,21.953000000000003,9,0.42810556,2.5479865705990936,-2.265898393830886,2.5479865705990936,4.921489746051437,176.5439480752344,3.460897843
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0.33801,-2.532904215279068,23.034799999999997,7,0.394277715,2.4926568121424073,-2.257547944567811,2.4926568121424073,4.897832109192128,159.27953606077998,1.562292864
40,C(C(C(C(F)(F)F)F)(F)F)O,0.3478,-2.435302152986374,22.983799999999995,6,0.397771334,2.410260498558798,-2.194411817217038,2.410260498558798,4.812475797104796,129.03419779635638,1.484299839
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,0.31399,-2.4109815710023343,26.496,7,0.41301378,1.9200220975898659,-2.1962883935645414,2.7344223510710783,6.245634199693307,116.55169583620197,2.754348336
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.36586,-2.6495780362639536,26.951000000000004,12,0.43155834,3.2677868380553625,-2.3371391264821053,3.2677868380553625,5.02881656188947,250.25156354602234,3.964730921
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0.39637,-2.58839213862453,22.004000000000005,10,0.45274427,2.6398223650461357,-2.2872825455214705,2.6398223650461357,4.9536358291703975,181.14233798589447,4.0
44,C(C(C(F)(F)F)(F)F)(F)F,0.40148,-2.423723934633136,17.006000000000004,7,0.444128271,1.9200220975898659,-2.1703170927277555,1.9200220975898659,4.772127751394765,110.50985185623556,3.474216264
45,C(C(C(F)(F)F)(F)F)F,0.39405,-2.376909896621384,16.977000000000004,6,0.442388325,1.8157258150287663,-2.1418442381616,1.8157258150287663,4.7309966212963195,90.96632017383186,3.130333768
46,C(C(C(F)(F)F)(F)F)O,0.3498,-2.3909948056540564,18.0878,5,0.402461134,1.86469233913318,-2.1521174652749044,1.86469233913318,4.728119405817707,94.86645470372198,1.53529412
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.37426,-2.521807592337149,26.849000000000004,10,0.43849431,3.1089772750318523,-2.255569376966136,3.1089772750318523,4.914172876825482,210.83308753677895,3.204119983
48,C(C(C(F)(F)F)F)F,0.38883,-2.2528263052951782,16.926000000000002,5,0.441109306,1.7493492667209336,-2.0564190188649283,1.7493492667209336,4.620377251681668,64.56425891682002,2.511883361
49,C(C(C(F)F)(F)F)F,0.38625,-2.2793502937646024,16.926000000000002,5,0.425993591,1.723890020581723,-2.077736370308192,1.723890020581723,4.653992596521658,68.07403392114698,2.895974732
