index,SMILE,fr_allylic_oxid,FractionCSP3,SlogP_VSA6,SMR_VSA7,PEOE_VSA9,PEOE_VSA8,FpDensityMorgan1,EState_VSA1,AvgIpc,Chi1v,LF
44,C(C(C(F)(F)F)(F)F)(F)F,0,1.0,0.0,0.0,0.0,0.0,0.8,18.524272430397243,1.6172521756325944,1.9200220975898659,1.477121255
45,C(C(C(F)(F)F)(F)F)F,0,1.0,0.0,0.0,0.0,0.0,0.8888888888888888,18.773418657812957,1.6364527976600283,1.8157258150287663,1.127104798
46,C(C(C(F)(F)F)(F)F)O,0,1.0,0.0,0.0,0.0,0.0,1.0,18.70570965005097,1.6364527976600283,1.86469233913318,-0.326979093
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0,1.0,0.0,0.0,0.0,0.0,0.6,30.618476994002112,1.9725948902944757,3.1089772750318523,1.230448921
48,C(C(C(F)(F)F)F)F,0,1.0,0.0,0.0,0.0,0.0,1.25,19.022564885228675,1.6203352658383443,1.7493492667209336,0.505149978
49,C(C(C(F)F)(F)F)F,0,1.0,0.0,0.0,0.0,0.0,1.25,19.022564885228675,1.6668127273868607,1.723890020581723,0.819543936
50,C(C(C(F)F)(F)F)O,0,1.0,0.0,0.0,0.0,0.0,1.375,18.954855877466684,1.6668127273868607,1.7728565446861366,-0.59345982
51,C(C(C(F)F)(F)F)OC(F)F,0,1.0,0.0,0.0,0.0,0.0,1.0909090909090908,25.566360963912786,1.835608509851416,2.4174419541316126,0.544068044
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0,1.0,0.0,0.0,0.0,0.0,0.875,9.174246925668676,1.253297578463043,2.8957513110645903,1.716003344
53,C(C(Cl)(Cl)Cl)(F)(F)F,0,1.0,0.0,0.0,0.0,0.0,0.875,9.968834452973246,1.253297578463043,2.517786838055363,1.740362689
54,C(C(Cl)Cl)(F)F,0,1.0,0.0,0.0,0.0,0.0,1.1666666666666667,11.261714435109246,1.3609640474436813,2.0790764552212724,0.049218023
55,C(C(F)(Cl)Cl)(Cl)Cl,0,1.0,0.0,0.0,0.0,0.0,1.2857142857142858,9.423393153084394,1.3143204867061786,2.9208581315430626,0.045322979
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0,1.0,0.0,0.0,0.0,0.0,0.75,9.174246925668676,1.253297578463043,2.8957513110645907,1.803457116
57,C(C(F)(Cl)Cl)(F)(F)Cl,0,1.0,0.0,0.0,0.0,0.0,0.875,9.968834452973244,1.253297578463043,2.5177868380553634,1.968482949
58,C(C(F)(Cl)Cl)(F)(F)F,0,1.0,0.0,0.0,0.0,0.0,0.875,10.763421980277812,1.253297578463043,2.139822365046136,2.021189299
59,C(C(F)(Cl)Cl)(F)Cl,0,1.0,0.0,0.0,0.0,0.0,1.4285714285714286,10.217980680388962,1.3143204867061786,2.4844223510710775,0.491361694
60,C(C(F)(Cl)Cl)F,0,1.0,0.0,0.0,0.0,0.0,1.5,11.261714435109246,1.3516441151533922,1.9436902880379932,0.612783857
61,C(C(F)(F)Br)(F)(F)Br,0,1.0,0.0,0.0,0.0,0.0,0.75,9.663594384459989,1.253297578463043,2.9698899581423857,1.447158031
62,C(C(F)(F)Cl)(Cl)Cl,0,1.0,0.0,0.0,0.0,0.0,1.2857142857142858,10.217980680388962,1.3143204867061786,2.5428936585338358,-0.045757491
63,C(C(F)(F)Cl)(F)(F)Cl,0,1.0,0.0,0.0,0.0,0.0,0.75,10.763421980277812,1.253297578463043,2.139822365046136,2.276461804
64,C(C(F)(F)Cl)(F)(F)F,0,1.0,0.0,0.0,0.0,0.0,0.875,11.55800950758238,1.253297578463043,1.761857892036909,2.73239376
65,C(C(F)(F)Cl)(F)Cl,0,1.0,0.0,0.0,0.0,0.0,1.4285714285714286,11.01256820769353,1.3143204867061786,2.1064578780618506,0.602059991
66,C(C(F)(F)F)(C(F)(F)F)(F)F,0,1.0,0.0,0.0,0.0,0.0,0.45454545454545453,18.275126202981525,1.5812853946781595,2.011857892036909,3.414973348
