index,SMILE,IP,MinAbsEStateIndex,FpDensityMorgan3,BCUT2D_MWHI,FractionCSP3,Chi2v,FpDensityMorgan2,HomoLumoGap,AvgIpc,SlogP_VSA6,LF
29,C(=C/F)\C(F)(F)F,0.395292688,0.4791666666666665,1.5714285714285714,19.413124650272522,0.3333333333333333,0.834267373976112,1.5714285714285714,0.27302,1.2958363892911637,12.40580956301666,-1.283996656
30,C(=C\C(F)(F)F)\C(F)(F)F,0.418603578,0.8541666666666665,0.9,19.417529477316357,0.5,1.416558432612739,0.8,0.26327,1.5730118671551043,12.152040213667762,-1.13076828
31,C(=C\F)\C(F)(F)F,0.394313412,0.4791666666666665,1.5714285714285714,19.413124650272522,0.3333333333333333,0.834267373976112,1.5714285714285714,0.26707,1.2958363892911637,12.40580956301666,-1.568636236
32,C(=CC(F)(F)F)C(F)(F)F,0.420768808,0.8541666666666665,0.9,19.417529477316357,0.5,1.416558432612739,0.8,0.27159,1.5730118671551043,12.152040213667762,-0.476253533
33,C(=CCl)C(F)(F)F,0.380799567,0.04706790123456761,1.7142857142857142,35.49562278097441,0.3333333333333333,1.086243689315597,1.7142857142857142,0.25117,1.2958363892911637,11.611222035712094,-1.443697499
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.40479327,4.9930555555555545,0.9473684210526315,19.438692007638572,0.8333333333333334,3.055267751554555,0.7894736842105263,0.21221,2.0912124264348146,0.0,-1.721246399
35,C(Br)(Br)Br,0.3652842,0.27083333333333326,1.0,79.95015715657301,1.0,6.680767400622813,1.0,0.20765,0.8112781244591328,0.0,-0.806875402
36,C(Br)Br,0.37603692,0.875,1.3333333333333333,79.93444491408715,1.0,2.727411870290968,1.3333333333333333,0.24224,0.9182958340544894,0.0,-0.386158178
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.42710509,7.4845153061224465,0.5,19.441437640880466,1.0,3.293090315836464,0.4,0.3597,2.123974153271652,0.0,3.491361694
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.42810556,5.07951388888889,1.0769230769230769,19.4327007780415,1.0,1.9958148790672414,1.0,0.37523,1.8356240554391323,0.0,1.505149978
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0.394277715,2.556041666666667,1.25,19.43172067400785,1.0,1.9347147416310977,1.1666666666666667,0.33801,1.8483335453198617,0.0,-0.259637311
