index,SMILE,IP,FractionCSP3,SMR_VSA7,SlogP_VSA6,HomoLumoGap,MinAbsEStateIndex,FpDensityMorgan3,PEOE_VSA12,FpDensityMorgan2,FpDensityMorgan1,LF
95,C(C(F)F)F,0.437768714,1.0,0.0,0.0,0.40601,1.5277777777777777,1.6,0.0,1.6,1.4,0.556302501
96,C(C(F)F)O,0.395412296,1.0,0.0,0.0,0.35736,1.0277777777777777,1.8,0.0,1.8,1.6,-0.777283529
97,C(C(F)F)OC(C(F)(F)F)(F)F,0.42061607,1.0,0.0,0.0,0.38777,1.9518749999999994,1.6666666666666667,0.0,1.4166666666666667,1.0,0.826074803
98,C(C(F)F)OC(C(F)F)(F)F,0.412228567,1.0,0.0,0.0,0.38723,1.6970833333333335,1.8181818181818181,0.0,1.5454545454545454,1.0909090909090908,0.77815125
99,C(C(F)F)OC(F)(F)F,0.421283431,1.0,0.0,0.0,0.39895,1.59375,1.7777777777777777,0.0,1.6666666666666667,1.2222222222222223,0.826074803
100,C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,0.44160814,1.0,0.0,0.0,0.41661,1.709490740740741,1.3571428571428572,0.0,1.1428571428571428,0.7857142857142857,1.397940009
101,C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,0.45755003,1.0,0.0,0.0,0.41088,1.685115740740741,1.3571428571428572,0.0,1.1428571428571428,0.7857142857142857,0.230448921
102,C(C=O)C(F)(F)F,0.384324082,0.6666666666666666,0.0,0.0,0.22868,0.16666666666666696,1.8571428571428572,0.0,1.8571428571428572,1.4285714285714286,-2.096910013
103,C(CBr)Br,0.36698874,1.0,0.0,0.0,0.2502,1.0486111111111112,1.25,0.0,1.25,1.0,-0.612610174
104,C(CC(F)(F)F)CO,0.383171433,1.0,0.0,0.0,0.34344,0.19097222222222232,1.875,0.0,1.75,1.25,-1.823908741
105,C(CCl)Cl,0.397082481,1.0,0.0,0.0,0.30045,0.5570987654320989,1.25,0.0,1.25,1.0,-0.647817482
106,C(CF)F,0.435398311,1.0,0.0,0.0,0.39959,0.8472222222222223,1.25,0.0,1.25,1.0,-0.326979093
107,C(CF)O,0.385083898,1.0,0.0,0.0,0.35533,0.3472222222222223,2.0,0.0,2.0,1.75,-1.356547324
108,C(Cl)(Cl)(Cl)Cl,0.40852219,1.0,0.0,0.0,0.2469,1.6111111111111107,0.8,0.0,0.8,0.8,1.505149978
109,C(Cl)(Cl)Cl,0.4066057,1.0,0.0,0.0,0.26614,0.7499999999999998,1.0,0.0,1.0,1.0,-0.300162274
110,C(Cl)Br,0.38953315,1.0,0.0,0.0,0.25797,0.5347222222222223,2.0,0.0,2.0,2.0,-0.344861565
111,C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,0.37929881,1.0,0.0,0.0,0.30746,1.8231554705215425,1.2105263157894737,0.0,0.9473684210526315,0.5789473684210527,-1.327902142
112,C(CO)C(F)(F)F,0.390538614,1.0,0.0,0.0,0.35691,0.8159722222222223,1.7142857142857142,0.0,1.7142857142857142,1.2857142857142858,-1.387216143
113,C(CO)C(F)(F)F,0.392805693,1.0,0.0,0.0,0.34552,0.8159722222222223,1.7142857142857142,0.0,1.7142857142857142,1.2857142857142858,-1.387216143
114,C(F)(Cl)(Cl)Cl,0.41484832,1.0,0.0,0.0,0.26004,2.583333333333333,1.2,0.0,1.2,1.2,1.716003344
115,C(F)(Cl)Cl,0.4224273,1.0,0.0,0.0,0.29459,1.722222222222222,1.5,5.090039039598953,1.5,1.5,0.230448921
116,C(F)(F)(Br)Br,0.39051257,1.0,0.0,0.0,0.22834,1.9583333333333333,1.2,0.0,1.2,1.2,0.397940009
117,C(F)(F)(Cl)Br,0.41649533,1.0,0.0,0.0,0.24998,1.8070987654320987,1.6,0.0,1.6,1.6,1.204119983
118,C(F)(F)(Cl)Cl,0.43204057,1.0,0.0,0.0,0.29035,3.5555555555555554,1.2,0.0,1.2,1.2,2.008600172
119,C(F)(F)(F)Br,0.42967108,1.0,0.0,0.0,0.28013,1.375,1.2,0.0,1.2,1.2,1.857332496
120,C(F)(F)(F)Cl,0.46668444,1.0,0.0,0.0,0.34132,3.530092592592592,1.2,0.0,1.2,1.2,2.806179974
121,C(F)(F)(F)F,0.552391616,1.0,0.0,0.0,0.60756,5.5,0.8,0.0,0.8,0.8,4.698970004
122,C(F)(F)(F)S(F)(F)(F)(F)F,0.48719863,1.0,0.0,0.0,0.31006,7.402777777777779,0.8,0.0,0.8,0.7,2.903089987
123,C(F)(F)Br,0.41649525,1.0,0.0,0.0,0.28107,1.9375,1.5,0.0,1.5,1.5,0.69019608
124,C(F)(F)Cl,0.450858998,1.0,0.0,0.0,0.33856,2.6944444444444446,1.5,0.0,1.5,1.5,1.075546961
125,C(F)(F)F,0.513551347,1.0,0.0,0.0,0.50549,3.666666666666667,1.0,0.0,1.0,1.0,2.357934847
126,C(F)F,0.462914254,1.0,0.0,0.0,0.44412,1.75,1.3333333333333333,6.928360321623806,1.3333333333333333,1.3333333333333333,0.73239376
127,C(OC(C(F)(F)F)C(F)(F)F)F,0.414008661,1.0,0.0,0.0,0.38006,2.1352314814814815,1.3333333333333333,0.0,1.25,0.9166666666666666,0.278753601
