SMILE,LF,GWP,IP,EA,HomoLumoGap
C(C(F)F)F,0.556302501,2.561101384,0.437768714,-0.17073717,0.40601
C(C(F)F)O,-0.777283529,0.790988475,0.395412296,-0.159027348,0.35736
C(C(F)F)OC(C(F)(F)F)(F)F,0.826074803,2.983626287,0.42061607,-0.137700317,0.38777
C(C(F)F)OC(C(F)F)(F)F,0.77815125,2.919601024,0.412228567,-0.139451699,0.38723
C(C(F)F)OC(F)(F)F,0.826074803,2.970346876,0.421283431,-0.159982744,0.39895
C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,1.397940009,3.57634135,0.44160814,-0.13445993,0.41661
C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,0.230448921,3.64246452,0.45755003,-0.12745314,0.41088
C(C=O)C(F)(F)F,-2.096910013,-1.602059991,0.384324082,-0.057437175,0.22868
C(CBr)Br,-0.612610174,0.008600172,0.36698874,-0.04744323,0.2502
C(CC(F)(F)F)CO,-1.823908741,-1.30980392,0.383171433,-0.140146978,0.34344
C(CCl)Cl ,-0.647817482,0.113943352,0.397082481,-0.076693792,0.30045
C(CF)F,-0.326979093,1.33243846,0.435398311,-0.168545693,0.39959
C(CF)O,-1.356547324,-0.27572413,0.385083898,-0.166996319,0.35533
C(Cl)(Cl)(Cl)Cl ,1.505149978,3.342422681,0.40852219,-0.00073784,0.2469
C(Cl)(Cl)Cl  ,-0.300162274,1.31386722,0.4066057,-0.03379489,0.26614
C(Cl)Br,-0.344861565,0.675778342,0.38953315,-0.05686502,0.25797
C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F  ,-1.327902142,-0.273272791,0.37929881,-0.09606565,0.30746
C(CO)C(F)(F)F,-1.387216143,-0.207608311,0.390538614,-0.154911782,0.35691
C(CO)C(F)(F)F  ,-1.387216143,-0.207608311,0.392805693,-0.143236939,0.34552
C(F)(Cl)(Cl)Cl,1.716003344,3.794488047,0.41484832,-0.02017459,0.26004
C(F)(Cl)Cl,0.230448921,2.204119983,0.4224273,-0.06286567,0.29459
C(F)(F)(Br)Br ,0.397940009,2.334453751,0.39051257,-0.01953755,0.22834
C(F)(F)(Cl)Br  ,1.204119983,3.285557309,0.41649533,-0.03301127,0.24998
C(F)(F)(Cl)Cl,2.008600172,4.096910013,0.43204057,-0.05132536,0.29035
C(F)(F)(F)Br ,1.857332496,3.857332496,0.42967108,-0.06963154,0.28013
C(F)(F)(F)Cl,2.806179974,4.209515015,0.46668444,-0.100428753,0.34132
C(F)(F)(F)F,4.698970004,3.868056362,0.552391616,-0.300664529,0.60756
C(F)(F)(F)S(F)(F)(F)(F)F ,2.903089987,4.267171728,0.48719863,-0.01694857,0.31006
C(F)(F)Br,0.69019608,2.579783597,0.41649525,-0.07931005,0.28107
C(F)(F)Cl  ,1.075546961,3.292256071,0.450858998,-0.107018621,0.33856
C(F)(F)F  ,2.357934847,4.164352856,0.513551347,-0.220811165,0.50549
C(F)F ,0.73239376,2.887054378,0.462914254,-0.199090147,0.44412
C(OC(C(F)(F)F)C(F)(F)F)F,0.278753601,2.290034611,0.414008661,-0.139102222,0.38006
C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F ,1.42975228,3.728353782,0.42209997,-0.10784641,0.40549
C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F  ,1.42975228,3.758154622,0.42972064,-0.12238995,0.40972
C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F ,1.149219113,3.507855872,0.44077539,-0.13627213,0.42476
C(OC(F)(F)F)(F)F,2.130333768,4.155336037,0.47727846,-0.191236976,0.47323
C(OC(F)F)(F)F,1.42975228,3.821513528,0.46223828,-0.18825696,0.46523
C=C(C(F)(F)F)C(F)(F)F,-1.552841969,-0.42365865,0.420570216,-0.042582466,0.27334
C=C(C(F)(F)F)F,-1.48148606,-0.300162274,0.395688332,-0.079605069,0.27158
C=C(F)F,-1.886056648,-1.283996656,0.374979178,-0.134322125,0.28947
C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F  ,-1.602059991,-0.790484985,0.38933076,-0.04839982,0.27212
C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F ,-1.602059991,-0.690369833,0.39444207,-0.05330489,0.27227
C=CC(C(C(F)(F)F)(F)F)(F)F,-1.602059991,-0.628932138,0.396643015,-0.057370464,0.27259
C=CC(C(F)(F)F)(F)F,-1.602059991,-0.739928612,0.400060601,-0.065103318,0.27422
C=CC(F)(F)F,-1.602059991,-0.583359493,0.403786882,-0.076706918,0.27809
C=CCOC(=O)C(F)(F)F,-2.522878745,-2.15490196,0.366368943,-0.058972677,0.24274
C=CF,-2.15490196,-1.619788758,0.374231874,-0.126083181,0.28154
C=COC(=O)C(F)(F)F,-2.397940009,-2.096910013,0.368239439,-0.037125288,0.22521
C=COCC(F)(F)F,-2,-1.236572006,0.33623079,-0.121188592,0.26885
CBr ,-0.096910013,0.385606274,0.38708764,-0.09880752,0.27494
CC(=O)C(F)(F)F,-1.853871964,-1.045757491,0.385391595,-0.046320215,0.22636
CC(C(F)(F)F)(F)F,1.600972896,3.658011397,0.44720753,-0.176548456,0.43408
CC(C)(F)F,0.954242509,2.777426822,0.422796813,-0.165457053,0.41703
CC(C)Br,-1.259637311,-0.899629455,0.36951547,-0.08732849,0.26734
CC(C)Cl,-1.22184875,-0.742321425,0.39144981,-0.111519423,0.31386
CC(CC(F)(F)F)(F)F,0.949390007,2.960946196,0.433993344,-0.151148554,0.41863
CC(Cl)(Cl)Cl,0.698970004,2.206825876,0.39595577,-0.03598373,0.26298
CC(F)(F)Cl ,1.255272505,3.361727836,0.436173907,-0.102814918,0.32984
