DDEC,GCN,DDEC_ions_NH4,GCN_ions_NH4,DDEC_ions_ClO4,GCN_ions_ClO4,DDEC_ions_BF4,GCN_ions_BF4
0.063881,0.063611078,,,,,,
0.126736,0.130703815,,,,,,
0.141954,0.138299767,,,,,,
0.090419,0.089762397,,,,,,
0.068516,0.063611078,,,,,,
0.135972,0.130703815,,,,,,
0.137311,0.130703815,,,,,,
0.087701,0.081768808,,,,,,
0.068129,0.069388677,,,,,,
0.127554,0.130703815,,,,,,
0.13143,0.130703815,,,,,,
0.084786,0.081768808,,,,,,
0.080663,0.081768808,,,,,,
0.108002,0.122077901,,,,,,
0.13345,0.138299767,,,,,,
0.094131,0.089762397,,,,,,
0.072506,0.069388677,,,,,,
0.116554,0.122077901,,,,,,
0.14204,0.138299767,,,,,,
0.101721,0.097377437,,,,,,
0.06697,0.063611078,,,,,,
0.127035,0.130703815,,,,,,
0.13676,0.138299767,,,,,,
0.09505,0.089762397,,,,,,
0.073415,0.069388677,,,,,,
0.118072,0.130703815,,,,,,
0.133487,0.130703815,,,,,,
0.091495,0.089762397,,,,,,
0.063979,0.069388677,,,,,,
0.120519,0.122077901,,,,,,
0.137452,0.138299767,,,,,,
0.087338,0.081768808,,,,,,
0.063901,0.069388677,,,,,,
0.128723,0.130703815,,,,,,
0.135483,0.138299767,,,,,,
0.09432,0.089762397,,,,,,
0.075917,0.069388677,,,,,,
0.118902,0.122077901,,,,,,
0.193748,0.189374446,,,,,,
-0.183052,-0.172195658,,,,,,
0.095143,0.089762397,,,,,,
0.09357,0.089762397,,,,,,
-0.179851,-0.177927091,,,,,,
0.189559,0.189374446,,,,,,
-0.191964,-0.177927091,,,,,,
0.091067,0.089762397,,,,,,
0.105682,0.089762397,,,,,,
-0.181506,-0.177927091,,,,,,
0.19135,0.189374446,,,,,,
-0.176843,-0.177927091,,,,,,
0.082658,0.081768808,,,,,,
0.097142,0.089762397,,,,,,
-0.163088,-0.177927091,,,,,,
0.196887,0.189374446,,,,,,
-0.178941,-0.177927091,,,,,,
0.088185,0.081768808,,,,,,
0.087566,0.081768808,,,,,,
-0.171935,-0.172195658,,,,,,
0.200475,0.189374446,,,,,,
-0.180155,-0.172195658,,,,,,
0.090644,0.081768808,,,,,,
0.103143,0.089762397,,,,,,
-0.182668,-0.177927091,,,,,,
0.192137,0.189374446,,,,,,
-0.176805,-0.172195658,,,,,,
0.097082,0.089762397,,,,,,
0.101401,0.089762397,,,,,,
-0.171417,-0.177927091,,,,,,
0.197039,0.189374446,,,,,,
-0.18637,-0.177927091,,,,,,
0.089525,0.089762397,,,,,,
0.087168,0.081768808,,,,,,
-0.178543,-0.177927091,,,,,,
0.200757,0.189374446,,,,,,
-0.186045,-0.177927091,,,,,,
0.093808,0.081768808,,,,,,
0.091354,0.081768808,,,,,,
-0.19009,-0.177927091,,,,,,
0.196103,0.189374446,,,,,,
-0.188059,-0.172195658,,,,,,
0.092462,0.089762397,,,,,,
0.092543,0.081768808,,,,,,
-0.181278,-0.177927091,,,,,,
0.192906,0.189374446,,,,,,
-0.168693,-0.172195658,,,,,,
0.099072,0.089762397,,,,,,
0.107255,0.097377437,,,,,,
-0.171184,-0.177927091,,,,,,
0.192216,0.189374446,,,,,,
-0.190684,-0.177927091,,,,,,
0.085354,0.081768808,,,,,,
0.096939,0.089762397,,,,,,
-0.168146,-0.177927091,,,,,,
0.196853,0.189374446,,,,,,
-0.185544,-0.177927091,,,,,,
0.086771,0.081768808,,,,,,
0.089395,0.081768808,,,,,,
-0.183103,-0.177927091,,,,,,
0.192639,0.189374446,,,,,,
-0.188756,-0.177927091,,,,,,
0.090296,0.081768808,,,,,,
0.103244,0.089762397,,,,,,
-0.178021,-0.177927091,,,,,,
0.196791,0.189374446,,,,,,
-0.175161,-0.172195658,,,,,,
0.092252,0.089762397,,,,,,
0.088947,0.081768808,,,,,,
-0.173622,-0.172195658,,,,,,
0.196646,0.189374446,,,,,,
-0.183611,-0.172195658,,,,,,
0.090932,0.081768808,,,,,,
0.088525,0.081768808,,,,,,
-0.177349,-0.172195658,,,,,,
0.197181,0.189374446,,,,,,
-0.176517,-0.172195658,,,,,,
0.087674,0.081768808,,,,,,
0.102548,0.089762397,,,,,,
-0.181932,-0.177927091,,,,,,
-0.222581,-0.229191547,,,,,,
-0.085494,-0.09907831,,,,,,
-0.228203,-0.229191547,,,,,,
-0.128846,-0.1273635,,,,,,
-0.223536,-0.229191547,,,,,,
-0.117765,-0.110803666,,,,,,
-0.229903,-0.236055942,,,,,,
-0.09292,-0.09907831,,,,,,
-0.221637,-0.224111756,,,,,,
-0.099165,-0.110803666,,,,,,
-0.221544,-0.229191547,,,,,,
-0.106665,-0.110803666,,,,,,
-0.232411,-0.236055942,,,,,,
-0.106822,-0.09907831,,,,,,
-0.229614,-0.236055942,,,,,,
-0.092927,-0.089876299,,,,,,
-0.225103,-0.229191547,,,,,,
-0.090374,-0.09907831,,,,,,
-0.219379,-0.229191547,,,,,,
-0.114723,-0.117052027,,,,,,
-0.236052,-0.236055942,,,,,,
-0.119645,-0.117052027,,,,,,
-0.228323,-0.229191547,,,,,,
-0.085238,-0.089876299,,,,,,
-0.22109,-0.229191547,,,,,,
-0.116508,-0.1273635,,,,,,
-0.228009,-0.236055942,,,,,,
-0.102407,-0.09907831,,,,,,
-0.228279,-0.229191547,,,,,,
-0.081957,-0.083202978,,,,,,
-0.22587,-0.229191547,,,,,,
-0.094815,-0.09907831,,,,,,
