name,ions,mean,N>500,big_diff,None,ions_n
OKIWUB_charged,ClO4,-0.073140547,,,,
OKIWUB01_charged,ClO4,-0.071566653,,,,
OKIXIQ_charged,ClO4,-0.071805769,,,,
OKIXIQ01_charged,ClO4,-0.073288205,,,,
OKIXIQ02_charged,ClO4,-0.07607578,,,,
OKIYAJ_charged,ClO4,-0.075666821,,,,
OKIYIR_charged,ClO4,-0.093179457,,,,
OKIYIR01_charged,ClO4,-0.075105053,,,,
OKIYIR02_charged,ClO4,-0.097959148,,,,
OKIYIR03_charged,ClO4,-0.097553553,,,,
OSILOS_charged,ClO4,-0.474093521,,,,
PELWEK_charged,ClO4,-0.129112981,,,,
PUTYAE_charged,ClO4,-0.120682329,,,,
QAPQAA_charged,ClO4,-0.135557365,,,,
SAHYAD_charged,ClO4,-0.065532121,,,,
SAHYAD01_charged,ClO4,-0.079781923,,,,
SAHYAD02_charged,ClO4,-0.083003645,,,,
SAHYAD03_charged,ClO4,-0.09590794,,,,
SAHYIL_charged,ClO4,-0.063403982,,,,
SEMFEX_charged,ClO4,-0.428349817,,,,
SEMFIB_charged,ClO4,-0.419881655,,,,
SOCPOQ_charged,ClO4,-0.317948921,,,,
TAMJAU_charged,ClO4,-0.132293614,,,,
TAMJEY_charged,ClO4,-0.130951705,,,,
TIFHAT_charged,ClO4,-0.430181972,,,,
TIFHEX_charged,ClO4,-0.415831888,,,,
TIZVIH_charged,ClO4,-0.118444057,,,,
TIZVIH01_charged,ClO4,-0.1185077,,,,
UGOSOY_charged,ClO4,-0.310517336,,,,
VARWES_charged,ClO4,-0.391792946,,,,
VARWIW_charged,ClO4,-0.397947895,,,,
VAXVEX_charged,ClO4,-0.150730091,,,,
VEDDIT_charged,ClO4,-0.542592251,,,,
WAJLEA_charged,ClO4,-0.401479235,,,,
WEHRIL_charged,ClO4,-0.369714582,,,,
WOQDUB_charged,ClO4,-0.411913999,,,,
WUNSEE_charged,ClO4,-0.071693054,,,,
WUNSEE01_charged,ClO4,-0.078341679,,,,
WUNSEE02_charged,ClO4,-0.094223461,,,,
WUNSII_charged,ClO4,-0.097706468,,,,
WUNSII01_charged,ClO4,-0.082155608,,,,
WUNSII02_charged,ClO4,-0.088873725,,,,
WUNTAB_charged,ClO4,-0.095218977,,,,
WUNVEH_charged,ClO4,-0.059634805,,,,
WUNVIL_charged,ClO4,-0.068385433,,,,
ILUFEB_charged,CNSe,-0.256865417,,,,
ADOBUR_charged,F,-0.648247103,,,,
ADOCAY_charged,F,-0.642134294,,,,
NICZAA01_charged,F,-0.715515286,,,,
VEHROR_charged,F,-0.365467869,,,,
DALCEZ_charged,F6P,-0.358192705,,,,
KIBYAW_charged,F6P,-0.371981352,,,,
LIVTEP_charged,F6P,-0.407404703,,,,
OCIYUW_charged,F6P,-0.36513653,,,,
XAYMUF_charged,F6P,-0.377150243,,,,
AVOSIO_charged,F6Sb,-0.400536966,,,,
PEMGIZ_charged,F6Sb,-0.429731395,,,,
UFANEV_charged,F6Sb,-0.416021987,,,,
WEHQEG_charged,F6Sb,-0.416847418,,,,
YUNKIC_charged,F6Si,-0.559476391,,,,
PUSXIL01_charged,H3O,-0.62370995,,,,
SOGWIV_charged,H3O,-0.429885659,,,,
BOMCUB_charged,H4N,-0.469286817,,,,
IFUDAO_charged,H4N,-0.492003263,,,,
IRISAD01_charged,H4N,-0.457519529,,,,
LAJDUV_charged,H4N,-0.522628562,,,,
LAJDUV01_charged,H4N,-0.523666263,,,,
LAJDUV02_charged,H4N,-0.524990185,,,,
LAJDUV03_charged,H4N,-0.527344624,,,,
QOPCII_charged,H4N,-0.52443486,,,,
UGUQOC_charged,H4N,-0.524915048,,,,
WOMFIO_charged,H4N,-0.5156953,,,,
XACFEN_charged,H4N,-0.582698599,,,,
ZAYJOA_charged,H4N,-0.69633084,,,,
ZAYKAN_charged,H4N,-0.707146895,,,,
ZAYKER_charged,H4N,-0.716435734,,,,
OQIRAI_charged,I,-0.1004283,,,,
SATBIA_charged,I,-0.182751318,,,,
ICITUK_charged,Li,-0.365813148,,,,
REHJEV_charged,N2O5,-0.336339676,,,,
REHJIZ_charged,N2O5,-0.272450931,,,,
AMEJOS_charged,NO3,-0.4401412,,,,
AWEDOW_charged,NO3,-0.410183191,,,,
AWEDUC_charged,NO3,-0.367462727,,,,
BUCROH_charged,NO3,-0.475932583,,,,
BUCSIC_charged,NO3,-0.485837821,,,,
BUYNAL_charged,NO3,-0.387130953,,,,
CAXXAC_charged,NO3,-0.410966789,,,,
EBIDIE_charged,NO3,-0.408005435,,,,
EVAKOB_charged,NO3,-0.133011471,,,,
EWIMIH_charged,NO3,-0.392350322,,,,
FOXQIT_charged,NO3,-0.131575413,,,,
GEZFIC_charged,NO3,-0.347136302,,,,
GEZFOI_charged,NO3,-0.368040763,,,,
HAHPIQ_charged,NO3,-0.103411354,,,,
HUMQUC_charged,NO3,-0.39421271,,,,
IDAGEA_charged,NO3,-0.401910011,,,,
IKOSUW_charged,NO3,-0.447310647,,,,
KAVJAT_charged,NO3,-0.365074061,,,,
LECFUW_charged,NO3,-0.463847715,,,,
LOVNIV_charged,NO3,-0.480304843,,,,
MARDAM_charged,NO3,-0.379819099,,,,
MOXPIZ_charged,NO3,-0.393011405,,,,
NAJMIV_charged,NO3,-0.277539888,,,,
NATNIG_charged,NO3,-0.40771085,,,,
NERNON_charged,NO3,-0.448482355,,,,
ODAHIK_charged,NO3,-0.328159944,,,,
OQIQUB_charged,NO3,-0.52439226,,,,
OQIQUB01_charged,NO3,-0.131424598,,,,
QUSFEP_charged,NO3,-0.352920636,,,,
RIDCEN_charged,NO3,-0.49231573,,,,
SEFNIB_charged,NO3,-0.392801877,,,,
TAMZUE_charged,NO3,-0.491387796,,,,
TANBAN_charged,NO3,-0.497011216,,,,
TANBER_charged,NO3,-0.500350022,,,,
TANBIV_charged,NO3,-0.498240032,,,,
TASJUT_charged,NO3,-0.119705802,,,,
TUGSOE_charged,NO3,-0.143348689,,,,
UFASAW_charged,NO3,-0.384761313,,,,
WAHNUQ_charged,NO3,-0.464514993,,,,
WIYMOG_charged,NO3,-0.545499247,,,,
XACGIT_charged,NO3,-0.143262647,,,,
ZOXFAV_charged,NO3,-0.15696555,,,,
FEVTEF_charged,O,-0.558565218,,,,
FEVVIM_charged,O,-0.546851544,,,,
PAQVOU_charged,O,-0.508067974,,,,
WEHPIJ_charged,O3S,-0.549165744,,,,
WEHPOP_charged,O3S,-0.566769881,,,,
POQXAV_charged,O4S,-0.512460779,,,,
RATNIL_charged,O4S,-0.681304691,,,,
XAZGAG_charged,O4S,-0.58467411,,,,
