struc_name,E_LJ_single,E_LJ_two
type1_46,-0.5700904260070274,-0.5443163423838655
type1_47,-0.5273667576355479,-0.5025816185243457
type1_48,-0.4885711749292909,-0.4647256618239908
type1_49,-0.45327792348433604,-0.4303257901011648
type1_50,-0.4211141797435971,-0.39901202147882486
type1_51,-0.3917526522552066,-0.37045969573296134
type1_52,-0.36490532818038446,-0.3443832389287991
type1_53,-0.34031817108211726,-0.32053087758680476
type1_54,-0.3177666116250748,-0.2986801441898592
type1_55,-0.29705170139351367,-0.2786340444023381
type1_56,-0.27799682306607565,-0.21189359257937213
type1_57,-0.2604448688226739,-0.19606483403799757
type1_58,-0.24425581399663088,-0.1815381302002379
type1_59,-0.22930462532320917,-0.16819120385741826
type1_60,-0.21547945323629847,-0.15591480653318968
type2_15,-25.900217483995675,-25.812183442340938
type2_16,-21.108271115806815,-21.02576060554088
type2_17,-17.381177983173416,-17.30363012673854
type2_18,-14.444785059858987,-14.371707130458049
type2_19,-12.104591637909152,-12.035550749321828
type2_20,-10.22015695634525,-10.154772694779354
type2_21,-8.688457375711664,-8.62639527627698
type2_22,-7.432829830168885,-7.373795612324329
type2_23,-6.395482875590687,-6.339217360563794
type2_24,-5.5323340323371895,-5.478608672287123
type2_25,-4.809393105916229,-4.758006060326011
type2_26,-4.200190943690927,-4.15096364363751
type2_27,-3.6839265353758037,-3.636700681212119
type2_28,-3.2441150246212374,-3.198749967291178
type2_29,-2.867589794245532,-2.823960255004522
type2_30,-2.543758002029449,-2.5017520897108625
type2_31,-2.2640396714081135,-2.2235571605405084
type2_32,-2.021441169085392,-1.9823920060850924
type2_33,-1.8102280733928637,-1.7725310817002082
type2_34,-1.6256722492326503,-1.5892540076302453
type2_35,-1.4638548193494785,-1.4286486907558356
type2_36,-1.3215115905911716,-1.2874568814003737
type2_37,-1.1959109784679072,-1.1629522109953427
type2_38,-1.0847569916249427,-1.0528432744341103
type2_39,-0.9861116745342997,-0.9551961573947096
type2_40,-0.8983327579098273,-0.8683721598659986
type2_41,-0.8200232685165361,-0.790977469082975
type2_42,-0.7499905991048195,-0.7218222839332498
type2_43,-0.6872131031826143,-0.6598874567226858
type2_44,-0.630812706922768,-0.6042971456047326
