,ori_name,func_type,func_ratio,t,p,dataset,Y,Y_pred
43,15030N2,single,all,111,1e7,train,29.150482177734375,28.726396560668945
44,15030N2,single,all,231,5e5,train,4.623314380645752,3.2112913131713867
45,15030N2,single,all,231,1e7,train,15.060518264770508,13.86701488494873
46,15030N2,single,all,296,5e5,train,1.7853147983551025,1.2135672569274902
47,15030N2,single,all,296,1e7,train,10.84691333770752,9.623061180114746
48,15030N2,two,half,111,5e5,train,15.238015174865723,14.194564819335938
49,15030N2,two,half,111,1e7,train,29.804895401000977,27.656137466430664
50,15030N2,two,half,231,5e5,train,2.4416887760162354,2.3907933235168457
51,15030N2,two,half,231,1e7,train,13.907855987548828,12.824048042297363
52,15030N2,two,half,296,5e5,train,0.9228715896606445,1.0046310424804688
53,15030N2,two,half,296,1e7,train,9.378172874450684,8.55881404876709
54,15030N2,two,all,111,5e5,train,20.790130615234375,18.609161376953125
55,15030N2,two,all,111,1e7,train,30.211448669433594,29.120141983032227
56,15030N2,two,all,231,5e5,train,5.504595756530762,4.3900146484375
57,15030N2,two,all,231,1e7,train,16.893556594848633,15.434661865234375
58,15030N2,two,all,296,5e5,train,2.02378511428833,1.9696993827819824
59,15030N2,two,all,296,1e7,train,11.983355522155762,10.67274284362793
60,17156N2,ori,,111,5e5,train,7.759565830230713,4.726832389831543
61,17156N2,ori,,111,1e7,train,18.304533004760742,21.24575424194336
62,17156N2,ori,,231,5e5,train,0.49589526653289795,0.30902814865112305
63,17156N2,ori,,231,1e7,train,6.100298881530762,7.611227512359619
64,17156N2,ori,,296,5e5,train,0.2506532073020935,0.2227168083190918
65,17156N2,ori,,296,1e7,train,3.775477647781372,5.0279130935668945
66,17156N2,single,half,111,5e5,train,8.07007122039795,5.1454973220825195
67,17156N2,single,half,111,1e7,train,17.132909774780273,16.537710189819336
68,17156N2,single,half,231,5e5,train,0.8047984838485718,0.8414812088012695
69,17156N2,single,half,231,1e7,train,6.611813068389893,6.686824321746826
70,17156N2,single,half,296,5e5,train,0.3219505548477173,0.3549919128417969
71,17156N2,single,half,296,1e7,train,4.014771461486816,4.249563694000244
72,17156N2,single,all,111,5e5,train,7.696770668029785,6.395111083984375
73,17156N2,single,all,111,1e7,train,15.346476554870605,16.42517852783203
74,17156N2,single,all,231,5e5,train,0.8561654686927795,1.0785508155822754
75,17156N2,single,all,231,1e7,train,6.240876197814941,6.97916841506958
76,17156N2,single,all,296,5e5,train,0.3243401050567627,0.5288681983947754
77,17156N2,single,all,296,1e7,train,3.954824686050415,4.700648784637451
78,17156N2,two,half,111,5e5,train,9.961913108825684,5.590964317321777
79,17156N2,two,half,111,1e7,train,17.905874252319336,16.145263671875
80,17156N2,two,half,231,5e5,train,0.8835934996604919,0.6968574523925781
81,17156N2,two,half,231,1e7,train,7.16739559173584,6.635837554931641
82,17156N2,two,half,296,5e5,train,0.3394913375377655,0.3436450958251953
83,17156N2,two,half,296,1e7,train,4.258957386016846,4.495892524719238
84,17156N2,two,all,111,5e5,train,8.39616870880127,7.223837852478027
85,17156N2,two,all,111,1e7,train,14.600716590881348,16.56001853942871
86,17156N2,two,all,231,5e5,train,0.7609811425209045,1.0103402137756348
87,17156N2,two,all,231,1e7,train,6.129796028137207,7.278378963470459
88,17156N2,two,all,296,5e5,train,0.2650165855884552,0.40447425842285156
89,17156N2,two,all,296,1e7,train,3.536590337753296,4.878918170928955
90,17150N2,ori,,111,5e5,train,2.775743246078491,2.8519649505615234
91,17150N2,ori,,111,1e7,train,21.73619842529297,21.573711395263672
92,17150N2,ori,,231,5e5,train,0.512503981590271,0.5132365226745605
93,17150N2,ori,,231,1e7,train,7.768829822540283,7.71826696395874
94,17150N2,ori,,296,5e5,train,0.3405732214450836,0.2529768943786621
95,17150N2,ori,,296,1e7,train,5.621049880981445,5.428057670593262
96,17150N2,single,half,111,5e5,train,4.907511234283447,6.271193981170654
97,17150N2,single,half,111,1e7,train,22.664485931396484,24.155109405517578
98,17150N2,single,half,231,5e5,train,0.9738505482673645,1.1854043006896973
99,17150N2,single,half,231,1e7,train,8.952290534973145,9.6613187789917
100,17150N2,single,half,296,5e5,train,0.4798663556575775,0.556180477142334
101,17150N2,single,half,296,1e7,train,6.408167839050293,6.723508834838867
102,17150N2,single,all,111,5e5,train,7.7440314292907715,8.160518646240234
103,17150N2,single,all,111,1e7,train,24.199174880981445,24.359386444091797
104,17150N2,single,all,231,5e5,train,1.5414842367172241,1.5130329132080078
105,17150N2,single,all,231,1e7,train,10.344871520996094,10.263994216918945
106,17150N2,single,all,296,5e5,train,0.7311025857925415,0.7537856101989746
107,17150N2,single,all,296,1e7,train,7.348310947418213,7.015043258666992
108,17150N2,two,half,111,5e5,train,7.073100566864014,7.804112434387207
109,17150N2,two,half,111,1e7,train,23.499797821044922,24.107040405273438
110,17150N2,two,half,231,5e5,train,1.2443081140518188,1.0594244003295898
111,17150N2,two,half,231,1e7,train,9.904807090759277,10.211400985717773
112,17150N2,two,half,296,5e5,train,0.583899974822998,0.6443653106689453
113,17150N2,two,half,296,1e7,train,7.034955978393555,6.90314245223999
114,17150N2,two,all,111,5e5,train,9.262462615966797,10.344704627990723
115,17150N2,two,all,111,1e7,train,24.231821060180664,25.199787139892578
116,17150N2,two,all,231,5e5,train,2.119403839111328,1.8929786682128906
117,17150N2,two,all,231,1e7,train,11.249202728271484,11.23565673828125
118,17150N2,two,all,296,5e5,train,0.8986576795578003,0.8806982040405273
119,17150N2,two,all,296,1e7,train,8.035324096679688,7.854469299316406
120,10010N2,ori,,111,5e5,train,4.154919147491455,4.010754585266113
121,10010N2,ori,,111,1e7,train,23.674501419067383,24.567293167114258
122,10010N2,ori,,231,5e5,train,0.5621040463447571,0.14677906036376953
123,10010N2,ori,,231,1e7,train,8.011210441589355,9.012874603271484
124,10010N2,ori,,296,5e5,train,0.3466610610485077,0.47579479217529297
125,10010N2,ori,,296,1e7,train,5.454463481903076,6.661334037780762
126,10010N2,single,half,111,5e5,train,7.806087017059326,6.860957622528076
127,10010N2,single,half,111,1e7,train,25.32175064086914,25.948884963989258
128,10010N2,single,half,231,5e5,train,0.856204628944397,0.9003791809082031
129,10010N2,single,half,231,1e7,train,9.553141593933105,10.444587707519531
130,10010N2,single,half,296,5e5,train,0.4450974762439728,0.36411333084106445
131,10010N2,single,half,296,1e7,train,6.336792469024658,7.057938575744629
132,10010N2,single,all,111,5e5,train,11.344093322753906,8.77900218963623
133,10010N2,single,all,111,1e7,train,26.802093505859375,26.41457176208496
134,10010N2,single,all,231,5e5,train,1.1664122343063354,1.3550429344177246
135,10010N2,single,all,231,1e7,train,10.996759414672852,11.002433776855469
136,10010N2,single,all,296,5e5,train,0.5524481534957886,0.9083962440490723
137,10010N2,single,all,296,1e7,train,7.235457897186279,7.525519847869873
138,10010N2,two,half,111,5e5,train,9.092288970947266,8.282868385314941
139,10010N2,two,half,111,1e7,train,25.928091049194336,26.119951248168945
140,10010N2,two,half,231,5e5,train,0.8543137311935425,1.1857290267944336
141,10010N2,two,half,231,1e7,train,9.860344886779785,10.705108642578125
142,10010N2,two,half,296,5e5,train,0.44613680243492126,0.409792423248291
143,10010N2,two,half,296,1e7,train,6.471682548522949,7.669892311096191
144,10010N2,two,all,111,5e5,train,12.767416000366211,11.603229522705078
145,10010N2,two,all,111,1e7,train,27.15317153930664,27.62499237060547
146,10010N2,two,all,231,5e5,train,1.4970898628234863,1.6659164428710938
