index,SMILE,IP,MinAbsEStateIndex,FractionCSP3,FpDensityMorgan3,Chi2v,BCUT2D_LOGPHI,MinAbsPartialCharge,MinPartialCharge,BCUT2D_MWHI,SPS,LF
11,CC(F)(Cl)Cl,0.40817283,1.0516975308641978,1.0,1.6,2.3943042269608665,2.188314215756155,0.2084810996624261,-0.2084810996624261,35.53939507594621,12.0,0.973127854
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.460778278,0.4583333333333335,0.75,1.0,1.765794891717179,2.448737341214894,0.2065484826463138,-0.2065484826463138,19.43259272721461,14.166666666666666,1.537819095
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.401892614,3.768518518518518,0.5,0.8333333333333334,1.6234826110944962,2.367274446324797,0.1984873246943009,-0.1984873246943009,19.42313838585497,16.0,-1.070581074
14,C(=C(/C(F)(F)F)\F)\F,0.387456284,1.125,0.3333333333333333,1.625,0.9548056448283403,2.2537942961919173,0.2123306708300582,-0.2123306708300582,19.417259746316663,14.375,-1.568636236
15,C(=C(/F)\Cl)(\F)/Cl,0.34915741,1.5030864197530855,0.0,1.1666666666666667,1.184500374589883,2.138931400049142,0.18921963719657012,-0.18921963719657012,35.49811449535688,14.0,-1.721246399
16,C(=C(\C(F)(F)F)/F)\F,0.38680363,1.125,0.3333333333333333,1.625,0.9548056448283403,2.2537942961919173,0.2123306708300582,-0.2123306708300582,19.417259746316663,14.375,-1.795880017
17,C(=C(Cl)Cl)(Cl)Cl,0.34069019,0.09876543209876476,0.0,0.8333333333333334,2.4196077047419675,2.1955219623417714,0.06822089663600672,-0.06822089663600672,35.54379590352167,8.0,-0.521433504
18,C(=C(Cl)Cl)(F)F,0.34990958,0.9629629629629626,0.0,1.3333333333333333,1.4702146603041688,2.1433879929240627,0.17065329833011306,-0.17065329833011306,35.53908818683247,8.0,-2.22184875
19,C(=C(Cl)Cl)Cl,0.34557732,0.08950617283950679,0.0,1.6,1.6248376489191085,2.0542662292372316,0.0903590844896965,-0.0903590844896965,35.53934101259007,7.0,-1.823908741
20,C(=C(F)F)(C(=C(F)F)F)F,0.322808574,2.8194444444444438,0.0,0.8,1.1487860888755972,2.2325182330389555,0.19754887657137363,-0.19754887657137363,19.285113696645638,9.0,-2.522878745
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,3.6830324074074072,0.5,1.1666666666666667,1.6465451579182315,2.4249929919444093,0.19873053259141205,-0.19873053259141205,19.429588135917143,13.0,-1.795880017
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.381971942,3.6830324074074072,0.5,1.1666666666666667,1.6465451579182315,2.4249929919444093,0.19873053259141205,-0.19873053259141205,19.429588135917143,13.0,-1.795880017
23,C(=C(F)F)(C(F)(F)F)F,0.385783705,3.331018518518518,0.3333333333333333,1.2222222222222223,1.0721521134804333,2.2928221944299443,0.19573757180923523,-0.19573757180923523,19.417753916914695,11.333333333333334,-1.823908741
24,C(=C(F)F)(F)F,0.367042484,2.9074074074074066,0.0,0.8333333333333334,0.52082161586637,2.0752478884996903,0.16722513020004043,-0.16722513020004043,19.30523021811977,8.0,-2.522878745
25,C(=C(F)F)(OC(F)(F)F)F,0.369837428,2.162037037037037,0.3333333333333333,1.5,1.0819184856273212,2.2327577875080955,0.3743489909759737,-0.3743489909759737,19.42313043464616,11.0,-2.397940009
26,C(=C(F)F)F,0.367537859,0.75,0.0,1.6,0.39875540678256,1.9315112436557258,0.2096537393211083,-0.2096537393211083,19.27988750368107,7.0,-2.397940009
27,C(=C/Cl)\C(F)(F)F,0.380799562,0.04706790123456761,0.3333333333333333,1.7142857142857142,1.086243689315597,2.1525877209353586,0.16672323335081776,-0.16672323335081776,35.49562278097441,13.142857142857142,-0.935542011
28,C(=C/Cl)\F,0.357129643,0.26543209876543217,0.0,2.0,0.5039526306789698,1.732131297595268,0.0979330892649945,-0.21457948336204735,35.49562264254682,9.5,-2.301029996
29,C(=C/F)\C(F)(F)F,0.395292688,0.4791666666666665,0.3333333333333333,1.5714285714285714,0.834267373976112,2.1480954250071633,0.2155433616748321,-0.2155433616748321,19.413124650272522,13.142857142857142,-1.283996656
30,C(=C\C(F)(F)F)\C(F)(F)F,0.418603578,0.8541666666666665,0.5,0.9,1.416558432612739,2.2174446747373597,0.16676757809424983,-0.16676757809424983,19.417529477316357,14.6,-1.13076828
31,C(=C\F)\C(F)(F)F,0.394313412,0.4791666666666665,0.3333333333333333,1.5714285714285714,0.834267373976112,2.1480954250071633,0.2155433616748321,-0.2155433616748321,19.413124650272522,13.142857142857142,-1.568636236
32,C(=CC(F)(F)F)C(F)(F)F,0.420768808,0.8541666666666665,0.5,0.9,1.416558432612739,2.2174446747373597,0.16676757809424983,-0.16676757809424983,19.417529477316357,13.0,-0.476253533
33,C(=CCl)C(F)(F)F,0.380799567,0.04706790123456761,0.3333333333333333,1.7142857142857142,1.086243689315597,2.1525877209353586,0.16672323335081776,-0.16672323335081776,35.49562278097441,10.857142857142858,-1.443697499
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.40479327,4.9930555555555545,0.8333333333333334,0.9473684210526315,3.055267751554555,2.5140506458605447,0.2880536632641491,-0.2880536632641491,19.438692007638572,15.578947368421053,-1.721246399
