index,SMILE,IP,FractionCSP3,BCUT2D_LOGPHI,qed,FpDensityMorgan1,Chi2v,BCUT2D_CHGLO,SPS,SMR_VSA5,VSA_EState8,GWP
59,C(C(F)(Cl)Cl)(F)Cl,0.40705172,1.0,2.3060903387383074,0.5294245217189981,1.4285714285714286,2.519062797379226,-2.0514835381607903,16.714285714285715,10.217980680388962,0.0,2.389166084
60,C(C(F)(Cl)Cl)F,0.41872573,1.0,2.2116500023937586,0.4823281568274539,1.5,2.1404735390782688,-1.9719914664062506,12.0,4.587123462834338,-1.3649691358024691,2.534026106
61,C(C(F)(F)Br)(F)(F)Br,0.39522931,1.0,2.4293941544892226,0.5017968617223129,0.75,2.9874170998445164,-2.126068802679265,14.25,9.663594384459989,0.0,3.336459734
62,C(C(F)(F)Cl)(Cl)Cl,0.40670093,1.0,2.294107624265415,0.5294245217189981,1.2857142857142858,2.4425058852560486,-2.0472533394616077,12.857142857142858,10.217980680388962,0.0,1.751279104
63,C(C(F)(F)Cl)(F)(F)Cl,0.43310363,1.0,2.3984794817081143,0.4197132452520627,0.75,1.9449111825230676,-2.1147225063281097,14.25,10.763421980277812,0.0,3.974511693
64,C(C(F)(F)Cl)(F)(F)F,0.4565249,1.0,2.3769544868920596,0.37122827303074213,0.875,1.4702146603041686,-2.0961543188229483,14.25,11.55800950758238,0.0,3.982271233
65,C(C(F)(F)Cl)(F)Cl,0.42559675,1.0,2.2756534976392397,0.5067864119793105,1.4285714285714286,1.7294163357146624,-2.0332880132060747,16.714285714285715,11.01256820769353,0.0,2.596597096
66,C(C(F)(F)F)(C(F)(F)F)(F)F,0.465475764,1.0,2.4636209008745054,0.5123885421431201,0.45454545454545453,1.5699111825230678,-2.208969460023583,15.272727272727273,18.275126202981525,0.0,3.968015714
67,C(C(F)(F)F)(C(F)(F)F)F,0.46716158,1.0,2.348021464027848,0.4895108834234751,0.7,1.4457805568128046,-2.1389326471001167,14.4,18.524272430397243,0.0,3.556302501
68,C(C(F)(F)F)(Cl)Br,0.40330832,1.0,2.280558348603273,0.523506439863351,1.4285714285714286,2.721600380221818,-2.0319885557879105,16.714285714285715,10.462654409784617,0.0,1.653212514
69,C(C(F)(F)F)(Cl)Cl,0.42308256,1.0,2.264874687592644,0.46817355207887645,1.1428571428571428,1.9385737093057702,-2.0278796765139497,12.857142857142858,11.01256820769353,0.0,1.95616843
70,C(C(F)(F)F)(F)(F)F,0.494092245,1.0,2.3536590509342967,0.4494104524188936,0.5,0.9955181380852692,-2.077128852108083,14.25,12.35259703488695,0.0,4.093421685
71,C(C(F)(F)F)(F)Br,0.41074817,1.0,2.259779584294319,0.3966205033876523,1.2857142857142858,1.6462396328429685,-2.018187796885684,16.714285714285715,11.257241937089187,0.0,2.303196057
