index,SMILE,IP,SMR_VSA7,MinAbsEStateIndex,FpDensityMorgan3,SlogP_VSA12,fr_ketone,EState_VSA5,VSA_EState3,HomoLumoGap,BCUT2D_LOGPHI,LF
27,C(=C/Cl)\C(F)(F)F,0.380799562,11.611222035712094,0.04706790123456761,1.7142857142857142,11.600939890232516,0,0.0,0.0,0.25117,2.1525877209353586,-0.935542011
28,C(=C/Cl)\F,0.357129643,11.864991385060993,0.26543209876543217,2.0,11.600939890232516,0,0.0,0.0,0.25675,1.732131297595268,-2.301029996
29,C(=C/F)\C(F)(F)F,0.395292688,12.40580956301666,0.4791666666666665,1.5714285714285714,0.0,0,0.0,0.0,0.27302,2.1480954250071633,-1.283996656
30,C(=C\C(F)(F)F)\C(F)(F)F,0.418603578,12.152040213667762,0.8541666666666665,0.9,0.0,0,0.0,0.0,0.26327,2.2174446747373597,-1.13076828
31,C(=C\F)\C(F)(F)F,0.394313412,12.40580956301666,0.4791666666666665,1.5714285714285714,0.0,0,0.0,0.0,0.26707,2.1480954250071633,-1.568636236
32,C(=CC(F)(F)F)C(F)(F)F,0.420768808,12.152040213667762,0.8541666666666665,0.9,0.0,0,0.0,0.0,0.27159,2.2174446747373597,-0.476253533
33,C(=CCl)C(F)(F)F,0.380799567,11.611222035712094,0.04706790123456761,1.7142857142857142,11.600939890232516,0,0.0,0.0,0.25117,2.1525877209353586,-1.443697499
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.40479327,0.0,4.9930555555555545,0.9473684210526315,0.0,1,0.0,0.0,0.21221,2.5140506458605447,-1.721246399
35,C(Br)(Br)Br,0.3652842,0.0,0.27083333333333326,1.0,47.78983169384804,0,0.0,0.0,0.20765,2.131510843773625,-0.806875402
36,C(Br)Br,0.37603692,0.0,0.875,1.3333333333333333,31.859887795898697,0,0.0,0.0,0.24224,1.8300848860732386,-0.386158178
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.42710509,0.0,7.4845153061224465,0.5,0.0,0,0.0,0.0,0.3597,2.5979390014527524,3.491361694
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.42810556,0.0,5.07951388888889,1.0769230769230769,0.0,0,0.0,0.0,0.37523,2.4836888323444075,1.505149978
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0.394277715,0.0,2.556041666666667,1.25,0.0,0,0.0,7.562986111111111,0.33801,2.4541563170800313,-0.259637311
