index,SMILE,IP,SMR_VSA7,fr_halogen,Chi2v,FractionCSP3,SMR_VSA6,MinAbsEStateIndex,AvgIpc,SPS,FpDensityMorgan2,LF
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0.40716058,0.0,6,3.465732798389438,1.0,0.0,3.2538580246913575,1.253297578463043,14.25,0.875,1.803457116
57,C(C(F)(Cl)Cl)(F)(F)Cl,0.42040364,0.0,6,2.7053219904562535,1.0,0.0,3.6859567901234565,1.253297578463043,14.25,1.0,1.968482949
58,C(C(F)(Cl)Cl)(F)(F)F,0.43024014,0.0,6,2.2306254682373545,1.0,0.0,3.983024691358024,1.253297578463043,14.25,1.0,2.021189299
59,C(C(F)(Cl)Cl)(F)Cl,0.40705172,0.0,5,2.519062797379226,1.0,0.0,2.36496913580247,1.3143204867061786,16.714285714285715,1.5714285714285714,0.491361694
60,C(C(F)(Cl)Cl)F,0.41872573,0.0,4,2.1404735390782688,1.0,6.674590972274908,1.3649691358024691,1.3516441151533922,12.0,1.6666666666666667,0.612783857
61,C(C(F)(F)Br)(F)(F)Br,0.39522931,0.0,6,2.9874170998445164,1.0,0.0,1.46875,1.253297578463043,14.25,0.875,1.447158031
62,C(C(F)(F)Cl)(Cl)Cl,0.40670093,0.0,5,2.4425058852560486,1.0,0.0,1.8248456790123464,1.3143204867061786,12.857142857142858,1.4285714285714286,-0.045757491
63,C(C(F)(F)Cl)(F)(F)Cl,0.43310363,0.0,6,1.9449111825230676,1.0,0.0,3.793981481481481,1.253297578463043,14.25,0.875,2.276461804
64,C(C(F)(F)Cl)(F)(F)F,0.4565249,0.0,6,1.4702146603041686,1.0,0.0,3.550925925925925,1.253297578463043,14.25,1.0,2.73239376
65,C(C(F)(F)Cl)(F)Cl,0.42559675,0.0,5,1.7294163357146624,1.0,0.0,2.797067901234569,1.3143204867061786,16.714285714285715,1.5714285714285714,0.602059991
66,C(C(F)(F)F)(C(F)(F)F)(F)F,0.465475764,0.0,8,1.5699111825230678,1.0,0.0,6.578125,1.5812853946781595,15.272727272727273,0.6363636363636364,3.414973348
