index,SMILE,SMR_VSA7,IP,fr_ketone,SlogP_VSA5,SMR_VSA6,MaxPartialCharge,MaxEStateIndex,Kappa2,VSA_EState3,AvgIpc,GWP
10,C(OC(OC(F)F)(F)F)(F)F,0.0,0.452414836,0,0.0,0.0,0.493960088720082,11.520833333333334,3.7661179698216736,0.0,1.5309516064545026,3.782472624
11,CC(F)(Cl)Cl,0.0,0.40817283,0,6.923737199690624,0.0,0.2539674477867957,11.218364197530864,1.3110788082142324,0.0,0.7219280948873623,2.934498451
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.0,0.460778278,0,0.0,0.0,0.44530038085886264,11.92361111111111,2.5,7.391527777777777,1.8054722985800935,3.439332694
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,11.653747758836332,0.401892614,0,0.0,0.0,0.44545050946311066,11.458912037037038,2.906610388395961,0.0,1.801319709384139,0.294466226
14,C(=C(/C(F)(F)F)\F)\F,12.156663335600946,0.387456284,0,0.0,0.0,0.4447793066846682,11.0,2.1054610131776372,0.0,1.6203352658383443,-0.463441557
15,C(=C(/F)\Cl)(\F)/Cl,10.57211140292499,0.34915741,0,0.0,0.0,0.23629035437973975,10.962191358024691,2.3697655030843827,-3.0061728395061715,1.3609640474436813,-0.899629455
16,C(=C(\C(F)(F)F)/F)\F,12.156663335600946,0.38680363,0,0.0,0.0,0.4447793066846682,11.0,2.1054610131776372,0.0,1.6203352658383443,-0.928117993
17,C(=C(Cl)Cl)(Cl)Cl,8.982936348315855,0.34069019,0,0.0,0.0,0.13644179327201345,4.993827160493827,2.975404326822096,0.0,1.3609640474436813,0.802089258
18,C(=C(Cl)Cl)(F)F,10.572111402924993,0.34990958,0,0.0,0.0,0.2997396640381056,10.773148148148149,2.3697655030843827,0.0,1.3609640474436813,-1.677780705
19,C(=C(Cl)Cl)Cl,10.02667010303614,0.34557732,0,0.0,0.0,0.1176031867403948,4.9567901234567895,2.826919739696312,0.0,1.3787834934861756,-1.356547324
20,C(=C(F)F)(C(=C(F)F)F)F,23.815034216370464,0.322808574,0,0.0,0.0,0.30849824189518416,11.386574074074074,3.284234734752738,0.0,1.8406191515407482,-2.397940009
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,11.90751710818523,0.382938944,0,0.0,0.0,0.4603190862785406,11.537037037037038,2.906610388395961,0.0,1.829215050497362,-1.045757491
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,11.90751710818523,0.381971942,0,0.0,0.0,0.4603190862785406,11.537037037037038,2.906610388395961,0.0,1.829215050497362,-0.991399828
23,C(=C(F)F)(C(F)(F)F)F,11.90751710818523,0.385783705,0,0.0,0.0,0.4479927713030211,11.037037037037038,2.2816676447452213,0.0,1.6151713102472967,-1.045757491
24,C(=C(F)F)(F)F,12.161286457534128,0.367042484,0,0.0,0.0,0.33445026040008086,10.287037037037038,1.7910255068496828,0.0,1.3609640474436813,-2.397940009
25,C(=C(F)F)(OC(F)(F)F)F,12.093577449772138,0.369837428,0,0.0,0.0,0.5744434363699831,11.208912037037038,2.8022751582088894,0.0,1.5998182365478808,-2.0
26,C(=C(F)F)F,12.410432684949845,0.367537859,0,0.0,0.0,0.2977980182536215,10.25,1.8132861189801708,0.0,1.3787834934861756,-2.301029996
27,C(=C/Cl)\C(F)(F)F,11.611222035712094,0.380799562,0,0.0,0.0,0.41009609196311353,10.884722222222223,2.211075411594639,0.0,1.2958363892911637,0.588831726
28,C(=C/Cl)\F,11.864991385060993,0.357129643,0,0.0,0.0,0.0979330892649945,10.409722222222221,2.9600000000000004,0.0,1.370950594454669,-2.397940009
29,C(=C/F)\C(F)(F)F,12.40580956301666,0.395292688,0,0.0,0.0,0.4114447639855823,10.729166666666666,1.9515725693421213,0.0,1.2958363892911637,0.136720567
30,C(=C\C(F)(F)F)\C(F)(F)F,12.152040213667762,0.418603578,0,0.0,0.0,0.4092768979698469,10.999166666666667,2.5126791656521386,0.0,1.5730118671551043,0.318063335
31,C(=C\F)\C(F)(F)F,12.40580956301666,0.394313412,0,0.0,0.0,0.4114447639855823,10.729166666666666,1.9515725693421213,0.0,1.2958363892911637,-0.501689446
