index,SMILE,HomoLumoGap,Chi2n,MolMR,Chi1n,BCUT2D_LOGPLOW,IP,AvgIpc,MaxPartialCharge,BCUT2D_MWHI,fr_halogen,LF
18,C(=C(Cl)Cl)(F)F,0.24667,0.52082161586637,20.948,1.0059289460184544,-1.5208941768802193,0.34990958,1.3609640474436813,0.2997396640381056,35.53908818683247,4,-2.22184875
19,C(=C(Cl)Cl)Cl,0.2316,0.39875540678256,25.642,0.8848574978400325,-1.3339745863707673,0.34557732,1.3787834934861756,0.1176031867403948,35.53934101259007,3,-1.823908741
20,C(=C(F)F)(C(=C(F)F)F)F,0.2002,1.1487860888755972,20.700000000000003,1.883893419027682,-1.7823602561123977,0.322808574,1.8406191515407482,0.30849824189518416,19.285113696645638,6,-2.522878745
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.25522,1.6465451579182315,21.352000000000004,2.261857892036909,-2.3681330679713786,0.382938944,1.829215050497362,0.4603190862785406,19.429588135917143,8,-1.795880017
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.26111,1.6465451579182315,21.352000000000004,2.261857892036909,-2.3681330679713786,0.381971942,1.829215050497362,0.4603190862785406,19.429588135917143,8,-1.795880017
23,C(=C(F)F)(C(F)(F)F)F,0.26608,1.0721521134804333,16.405,1.6338934190276817,-2.0775578506807855,0.385783705,1.6151713102472967,0.4479927713030211,19.417753916914695,6,-1.823908741
24,C(=C(F)F)(F)F,0.2841,0.52082161586637,11.458000000000002,1.0059289460184544,-1.5603286407164803,0.367042484,1.3609640474436813,0.33445026040008086,19.30523021811977,4,-2.522878745
25,C(=C(F)F)(OC(F)(F)F)F,0.27597,1.0819184856273212,17.490000000000002,1.7921417094915448,-2.1091184942127117,0.369837428,1.5998182365478808,0.5744434363699831,19.42313043464616,6,-2.397940009
26,C(=C(F)F)F,0.28046,0.39875540678256,11.407000000000002,0.8848574978400325,-1.4174403318879352,0.367537859,1.3787834934861756,0.2977980182536215,19.27988750368107,3,-2.397940009
27,C(=C/Cl)\C(F)(F)F,0.25117,0.834267373976112,21.048,1.4071730676779797,-1.9868840157156187,0.380799562,1.2958363892911637,0.41009609196311353,35.49562278097441,4,-0.935542011
