,SMILE,IP,EA,HomoLumoGap,MolWt,MolLogP,MolMR,HeavyAtomCount,LabuteASA,BalabanJ,BertzCT,GWP
57,C(C(F)(Cl)Cl)(F)(F)Cl,0.12198337198802238,1.2574595475509018,-0.6003284209155387,0.34468679433695104,0.8069782121611091,0.765662521070224,-0.14644139159156278,0.3957380747801075,0.31539875460511907,-0.2938414976320564,3.8110049351138637
58,C(C(F)(Cl)Cl)(F)(F)F,0.3870812659058567,1.1010834461775978,-0.5858926100241343,0.12851025081792547,0.5241089632762734,0.1253009012908265,-0.14644139159156278,0.11929099653869293,0.31539875460511907,-0.29887853062691216,3.872369577747152
59,C(C(F)(Cl)Cl)(F)Cl  ,-0.2378565987088134,1.2817111629137585,-0.7461845856768035,0.10834428337327624,0.4948031628905076,0.7587798145141127,-0.3504133298798111,0.2081198613915934,-0.09819366567664978,-0.4075265604529656,1.773670098812613
60,C(C(F)(Cl)Cl)F  ,0.07676297782509087,0.9259736265508642,-0.6000560471251353,-0.34417477110942374,-0.09856051588796984,0.11450449884986695,-0.5543852681680594,-0.2559454302383342,-0.41987683041101015,-0.5836647711017552,2.535177211667366
61,C(C(F)(F)Br)(F)(F)Br ,-0.5564756188921259,1.7306720390859431,-1.2355041001373308,1.296454770534024,0.8520398192058903,0.9550044288785479,-0.14644139159156278,0.44036573945268687,0.31539875460511907,-0.29887853062691216,3.3261183938036027
62,C(C(F)(F)Cl)(Cl)Cl ,-0.24731053966417704,1.2348818882008796,-0.716632029417985,0.10834428337327662,0.4948031628905071,0.7587798145141127,-0.3504133298798111,0.2081198613915934,-0.09819366567664978,-0.4075265604529656,1.7497882226204244
63,C(C(F)(F)Cl)(F)(F)Cl,0.46425354956923165,0.7751089803510016,-0.17515293409512014,0.12851025081792586,0.5241089632762729,0.1253009012908265,-0.14644139159156278,0.11929099653869293,0.31539875460511907,-0.29887853062691216,4.119128061956407
64,C(C(F)(F)Cl)(F)(F)F ,1.0954668215542844,0.41806316257683135,-0.006825931625536724,-0.0876662927010997,0.24123971439143765,-0.5150607184885716,-0.14644139159156278,-0.1571560817027206,0.31539875460511907,-0.3154174918205612,3.975816545535955
65,C(C(F)(F)Cl)(F)Cl ,0.26193991383559506,0.713558176691744,-0.2718456296884889,-0.10783226014574894,0.21193391400567135,0.11841819473471468,-0.3504133298798111,-0.06832721684982047,-0.09819366567664978,-0.4075265604529656,2.5805181074811867
66,C(C(F)(F)F)(C(F)(F)F)(F)F  ,1.336696445418969,-0.7383457805613233,1.1340116894810128,0.353121029580902,0.6256813968713855,-0.4877998023251491,0.4654744232731823,0.22831407789634015,0.9437496190989356,0.2495676246309755,3.9661778064400246
