,SMILE,IP,EA,HomoLumoGap,MolWt,MolLogP,MolMR,HeavyAtomCount,LabuteASA,BalabanJ,BertzCT,GWP
55,C(C(F)(Cl)Cl)(Cl)Cl ,0.39143845,-0.02880397,0.26726,185.84,2.891,31.039,7,60.48279345267909,3.541196965079901,55.20035947603792,1.8495877
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0.40716058,-0.02792182,0.28124,203.83,3.1882,31.090000000000003,8,64.64832885560531,4.020391543176799,67.01955000865388,3.5179703
57,C(C(F)(Cl)Cl)(F)(F)Cl,0.42040364,-0.04029044,0.29286,187.375,2.9189,26.345,8,58.51059803164989,4.020391543176799,67.50977500432694,3.8682299
58,C(C(F)(Cl)Cl)(F)(F)F,0.43024014,-0.04854384,0.29392,170.92,2.6496,21.6,8,52.37286720769444,4.020391543176799,67.01955000865388,3.7714076
59,C(C(F)(Cl)Cl)(F)Cl  ,0.40705172,-0.03901046,0.28215,169.385,2.6217000000000006,26.294,7,54.345062628723646,3.541196965079901,56.44547197387445,2.4630954
60,C(C(F)(Cl)Cl)F  ,0.41872573,-0.05778599,0.29288,134.94,2.0568,21.52,6,44.04179640184197,3.168489872670569,39.30296890880646,2.297702
61,C(C(F)(F)Br)(F)(F)Br ,0.39522931,-0.01531468,0.24622,259.822,2.9618,27.748,8,59.501429965213816,4.020391543176799,67.01955000865388,2.3802378
62,C(C(F)(F)Cl)(Cl)Cl ,0.40670093,-0.04148207,0.28432,169.38500000000002,2.6217,26.294,7,54.345062628723646,3.541196965079901,56.44547197387445,1.9942216
63,C(C(F)(F)Cl)(F)(F)Cl,0.43310363,-0.0657485,0.32408,170.92000000000002,2.6495999999999995,21.6,8,52.37286720769444,4.020391543176799,67.01955000865388,4.0154448
64,C(C(F)(F)Cl)(F)(F)F ,0.4565249,-0.08459308,0.33644,154.465,2.3803,16.855,8,46.23513638373901,4.020391543176799,65.40990953421706,4.161057
65,C(C(F)(F)Cl)(F)Cl ,0.42559675,-0.0689971,0.31698,152.93,2.3524000000000003,21.549,7,48.20733180476821,3.541196965079901,56.44547197387445,2.7113068
66,C(C(F)(F)F)(C(F)(F)F)(F)F  ,0.465475764,-0.145627378,0.42021,188.017,2.7463,17.057000000000002,11,54.79341848003264,4.7484085779251695,120.3966103461162,4.0415974
67,C(C(F)(F)F)(C(F)(F)F)F,0.46716158,-0.135396352,0.41225,170.027,2.4491,17.006000000000004,10,50.6278830771064,4.231132186198015,93.00007685190862,3.6375637
68,C(C(F)(F)F)(Cl)Br ,0.40330832,-0.03906782,0.25572,197.381,2.5085,24.623,7,51.7716131835279,3.541196965079901,58.44547197387445,1.5784127
69,C(C(F)(F)F)(Cl)Cl ,0.42308256,-0.05666273,0.29568,152.93,2.3524000000000003,21.549,7,48.20733180476821,3.541196965079901,56.44547197387445,2.7081847
70,C(C(F)(F)F)(F)(F)F,0.494092245,-0.191544565,0.47485,138.01000000000002,2.111,12.110000000000005,8,40.09740555978357,4.020391543176799,61.50977500432693,4.0605526
71,C(C(F)(F)F)(F)Br  ,0.41074817,-0.06402068,0.27328,180.926,2.2392000000000003,19.878,7,45.63388235957246,3.541196965079901,55.20035947603792,2.413389
72,C(C(F)(F)F)(F)Cl  ,0.434961906,-0.090618587,0.32506,136.47500000000002,2.0831,16.804000000000002,7,42.06960098081277,3.541196965079901,55.20035947603792,3.033119
73,C(C(F)(F)F)(F)F,0.466143167,-0.182417438,0.43772,120.02,1.8138,12.059000000000005,7,35.93187015685733,3.541196965079901,51.5907190016011,3.5849178
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.44524624,-0.11831992,0.41176,286.0399999999999,3.651299999999999,27.985000000000003,17,85.13345414711145,5.044655517876056,262.0158056483806,3.787097
75,C(C(F)(F)F)(OC(F)(F)F)F,0.463875284,-0.158402893,0.44026,186.02599999999995,2.3807,18.091,11,55.74142830661329,3.986683495990278,122.6278258397897,3.9004219
76,C(C(F)(F)F)(OC(F)F)F,0.449640889,-0.162287933,0.43354,168.03599999999997,2.0835,18.040000000000003,10,51.575892903687055,3.7348237213155926,97.65627610972469,3.2177634
77,C(C(F)(F)F)Br ,0.40375793,-0.07171444,0.27033,162.936,1.9436,19.849,6,41.46834695664622,3.168489872670569,38.54808140664299,2.1083653
78,C(C(F)(F)F)C(F)(F)F,0.475636481,-0.161763272,0.46237,152.037,2.5011,16.727000000000004,9,46.46234767418017,3.746417931251032,73.45654516950493,3.905466
79,C(C(F)(F)F)Cl  ,0.431566028,-0.096790179,0.31956,118.485,1.7875,16.775000000000002,6,37.90406557788653,3.168489872670569,38.54808140664299,2.6487033
80,C(C(F)(F)F)F,0.465805406,-0.167768408,0.42813,102.03000000000002,1.5182000000000002,12.030000000000005,6,31.7663347539311,3.168489872670569,35.30296890880646,3.425842
81,C(C(F)(F)F)O,0.41202365,-0.151136567,0.36098,100.039,0.5410000000000001,13.140800000000002,6,32.39503310320087,3.168489872670569,38.54808140664299,1.6362224
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,0.44815765,-0.13980736,0.40703,218.04299999999995,2.7204,23.009,13,66.27190582393614,4.206154772054343,165.96329012267483,3.2950058
83,C(C(F)(F)F)OC(C(F)F)(F)F,0.434114265,-0.137440918,0.40175,200.053,2.4232000000000005,22.958,12,62.1063704210099,3.925203189423221,138.83202715243524,3.0285344
84,C(C(F)(F)F)OC(F)(F)F,0.450522174,-0.159293268,0.4162,168.03599999999997,2.0851,18.062,10,51.57589290368706,3.563001750182873,86.54100625134225,3.125774
85,C(C(F)(F)F)OC(F)F,0.434837613,-0.164974143,0.41141,150.046,1.7879,18.011,9,47.41035750076082,3.28071084001375,76.76251764207414,2.8293028
86,C(C(F)(F)F)OC=O,0.41206806,-0.091208606,0.29053,128.049,0.7217,18.071,8,43.24080879495212,3.239280745266341,77.08794560136667,1.9132195
87,C(C(F)(F)F)OCC(F)(F)F,0.390384198,-0.137943535,0.35659,182.063,2.1276,22.928999999999995,11,57.94083501808366,3.4365348249497805,98.73114066028502,1.3690625
