IP,EA,HomoLumoGap,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,VSA_EState1,HeavyAtomCount,NumHeteroatoms,MolLogP,MolMR,fr_halogen,SPS,LF,GWP
0.34069019,-0.03826466,0.22142,4.99382716,4.99382716,0.098765432,-0.098765432,0.517976402,8,165.834,165.834,163.8754107,36,0.136441793,-0.068220897,0.136441793,0.068220897,0.666666667,0.833333333,0.833333333,35.5437959,11.22151756,1.875927939,-1.754816994,2.195521962,-1.474710379,6.672996404,2.25152185,1.360964047,3.675948765,55.61727061,5.154700538,2.511857892,5.535573676,2.64273441,1.005928946,2.517786838,0.520821616,2.419607705,0.9,13.60964047,6.9,2.975404327,3.104081633,55.62765502,-0.197530864,6,4,3.0682,30.438,4,8,-0.521433504,0.802089258
0.34990958,-0.07309798,0.24667,10.77314815,10.77314815,0.962962963,-2.043209877,0.475710651,8,132.924,132.924,131.9345118,36,0.299739664,-0.170653298,0.299739664,0.170653298,1.166666667,1.333333333,1.333333333,35.53908819,11.13079134,1.926249884,-1.719900829,2.143387993,-1.520894177,6.555052276,0.421491296,1.360964047,3.675948765,59.61727061,5.154700538,2.511857892,4.023715784,2.64273441,1.005928946,1.761857892,0.520821616,1.47021466,0.18,13.60964047,6.18,2.369765503,2.41923445,43.35219337,20.58333333,6,4,2.5296,20.948,4,8,-2.22184875,-1.677780705
0.34557732,-0.05399329,0.2316,4.956790123,4.956790123,0.089506173,0.089506173,0.473775059,7,131.389,130.381,129.9143831,30,0.117603187,-0.090359084,0.117603187,0.090359084,1.4,1.6,1.6,35.53934101,11.24175916,1.701334818,-1.639883105,2.054266229,-1.333974586,6.578145153,2.362563119,1.378783493,3.143197306,42.85475297,4.28445705,2.211243688,4.479030526,2.27005561,0.884857498,2.077222224,0.398755407,1.624837649,0.61,9.651484454,5.61,2.82691974,4.61,45.32438879,0.089506173,5,3,2.5017,25.642,3,7,-1.823908741,-1.356547324
0.322808574,-0.052947202,0.2002,11.38657407,11.38657407,2.819444444,-3.106203704,0.40998696,9,162.032,162.032,161.9904193,58,0.308498242,-0.197548877,0.308498242,0.197548877,0.5,0.7,0.8,19.2851137,10.50190066,2.163003446,-1.867923818,2.232518233,-1.782360256,5.185783197,0.339636572,1.840619152,4.708295227,159.9244972,8.309401077,4.267786838,4.267786838,4.464101615,1.883893419,1.883893419,1.148786089,1.148786089,-0.94,106.7559108,9.06,3.284234735,2.119530622,51.44808372,66.51796296,10,6,3.1416,20.7,6,9,-2.522878745,-2.397940009
0.382938944,-0.066658337,0.25522,11.53703704,11.53703704,3.683032407,-6.346712963,0.569513391,13,200.028,200.028,199.9872258,72,0.460319086,-0.198730533,0.460319086,0.198730533,0.75,1.083333333,1.166666667,19.42958814,10.28155083,2.624255933,-2.157793498,2.424992992,-2.368133068,5.07507409,-0.27141288,1.82921505,5.00762049,193.593625,10.15470054,5.023715784,5.023715784,5.104059275,2.261857892,2.261857892,1.646545158,1.646545158,-0.82,188.4091502,11.18,2.906610388,1.858495572,60.46875756,89.75081019,12,8,3.2616,21.352,8,13,-1.795880017,-1.045757491
0.381971942,-0.072161368,0.26111,11.53703704,11.53703704,3.683032407,-6.346712963,0.569513391,13,200.028,200.028,199.9872258,72,0.460319086,-0.198730533,0.460319086,0.198730533,0.75,1.083333333,1.166666667,19.42958814,10.28155083,2.624255933,-2.157793498,2.424992992,-2.368133068,5.07507409,-0.27141288,1.82921505,5.00762049,193.593625,10.15470054,5.023715784,5.023715784,5.104059275,2.261857892,2.261857892,1.646545158,1.646545158,-0.82,188.4091502,11.18,2.906610388,1.858495572,60.46875756,89.75081019,12,8,3.2616,21.352,8,13,-1.795880017,-0.991399828
0.385783705,-0.084676947,0.26608,11.03703704,11.03703704,3.331018519,-5.556712963,0.465311325,11.33333333,150.021,150.021,149.9904193,54,0.447992771,-0.195737572,0.447992771,0.195737572,0.888888889,1.222222222,1.222222222,19.41775392,10.56426907,2.382114124,-1.982841753,2.292822194,-2.077557851,4.980743378,-0.112671444,1.61517131,4.39951587,125.7286241,7.654700538,3.767786838,3.767786838,3.854059275,1.633893419,1.633893419,1.072152113,1.072152113,-0.68,50.07031062,8.32,2.281667645,2.38507764,45.77274464,64.81597222,9,6,2.6263,16.405,6,11.33333333,-1.823908741,-1.045757491
0.367042484,-0.140748955,0.2841,10.28703704,10.28703704,2.907407407,-2.907407407,0.408111254,8,100.014,100.014,99.99361288,36,0.33445026,-0.16722513,0.33445026,0.16722513,0.666666667,0.833333333,0.833333333,19.30523022,11.05264537,1.977327602,-1.686932989,2.075247888,-1.560328641,4.76808478,0.307943791,1.360964047,3.675948765,55.61727061,5.154700538,2.511857892,2.511857892,2.64273441,1.005928946,1.005928946,0.520821616,0.520821616,-0.54,13.60964047,5.46,1.791025507,1.749017341,31.07673172,41.14814815,6,4,1.991,11.458,4,8,-2.522878745,-2.397940009
0.369837428,-0.110437553,0.27597,11.20891204,11.20891204,2.162037037,-5.409212963,0.429213034,11,166.02,166.02,165.9853339,60,0.574443436,-0.374348991,0.574443436,0.374348991,1,1.4,1.5,19.42313043,10.97145801,2.336515391,-2.030678616,2.232757788,-2.109118494,4.801459278,-0.315246816,1.599818237,4.055712041,141.5621435,8.36180732,4.176035129,4.176035129,4.327185822,1.792141709,1.792141709,1.081918486,1.081918486,-0.88,75.19145712,9.12,2.802275158,4.044555316,50.88628987,67.55752315,10,7,2.5579,17.49,6,11,-2.397940009,-2
0.367537859,-0.134661826,0.28046,10.25,10.25,0.75,-2.287037037,0.416805826,7,82.024,81.016,82.00303469,30,0.297798018,-0.209653739,0.297798018,0.209653739,1.4,1.6,1.6,19.2798875,11.11122918,1.775251307,-1.593799488,1.931511244,-1.417440332,4.657656631,0.399692427,1.378783493,3.143197306,42.85475297,4.28445705,2.211243688,2.211243688,2.27005561,0.884857498,0.884857498,0.398755407,0.398755407,-0.47,9.651484454,4.53,1.813286119,3.53,26.91119632,30.7037037,5,3,1.6938,11.407,3,7,-2.397940009,-2.301029996
