Screening ID,MOFs,5SF6,1SF6,0SF6,5N2,1N2,0N2,LCD,PLD,VolumetricSurfaceArea,GravimetricSurfaceArea,PoreVolume,VoidFraction,5Selectivity,5WC,1Selectivity,1WC,
1929,QOQBII_clean,6.743995416,5.513814762,2.199712571,0.678098936,0.262498435,0.05728776,11.57216,9.99796,2062.03,2485.64,0.889117,0.737589,89.5090016,1.230180654,189.0462046,3.314102191,
1161,ja5b00450_si_002_clean,7.77442521,4.468304897,1.340461275,0.627397646,0.254884338,0.042013428,13.25276,11.47898,2114.71,3506.61,1.28643,0.7758,111.5238913,3.306120313,157.7764424,3.127843622,
2495,WAQDOJ_charged,5.305574499,3.696430038,0.658987316,0.491111889,0.189937751,0.032739191,9.96907,6.19052,2081.16,3001.03,0.984798,0.682938,97.22869999,1.609144461,175.1514385,3.037442722,
2880,ZIQJEQ_clean,3.372425662,3.043005644,0.022607189,1.054330762,0.165923902,0.01713919,9.10665,6.72913,2296.72,3647.91,1.15115,0.724759,28.7877695,0.329420018,165.0578998,3.020398455,
2757,YAFJEX_clean,6.28866877,4.995970259,1.978496859,0.46902722,0.176924282,0.035440274,11.02926,6.06332,2425.82,2917.15,0.879358,0.731251,120.6710752,1.292698511,254.1411033,3.0174734,
1706,OLOYOF_clean,5.774327596,3.51638973,0.553724022,0.408994418,0.187413784,0.030785924,10.68326,6.60845,2370.97,2917.3,0.895152,0.727516,127.0651776,2.257937866,168.864354,2.962665708,
458,DAPHOU_clean,5.715030612,3.229227268,0.320118866,0.454184176,0.209155627,0.030798942,10.96691,6.06523,2386.7,3037.96,0.934769,0.734378,113.2476168,2.485803344,138.9541646,2.909108402,
2282,UMOBEF05_clean,6.663513035,3.749559358,0.841896706,0.341468119,0.20926149,0.035558556,9.81532,6.14204,2492.98,3564.1,1.01564,0.710407,175.6287454,2.913953677,161.2625154,2.907662652,
2715,XITYEF_clean,6.2818,4.456343296,1.576052912,0.3886,0.20124523,0.044270713,17.05055,6.77134,1933.84,2387.38,0.894159,0.724291,145.486876,1.825456704,199.2946098,2.880290384,
2721,XOGQUH_clean,5.551159891,4.47292278,1.625768197,0.428953264,0.166999076,0.03135396,17.16737,10.2765,1230.14,1277.64,0.760879,0.73259,116.4705882,1.078237111,241.057053,2.847154582,
680,EYULIU_clean,4.519232406,3.125124977,0.363793868,0.360291581,0.140831389,0.025403911,9.59934,6.1442,2111.14,2635.09,0.867039,0.69464,112.8893757,1.394107429,199.714886,2.761331109,
2774,YATVUN_clean,5.6007,5.1508,2.4517,0.4499,0.2024,0.0225,10.83921,9.14744,1898.89,2100.63,0.739077,0.668098,112.0388975,0.4499,229.0375494,2.6991,
1948,QURNEY_clean,5.213760563,3.302478134,0.629510213,0.384028374,0.138263786,0.027954355,12.68753,6.49512,2180.21,2308.06,0.760635,0.7185,122.1884846,1.911282429,214.9680988,2.672967921,
2362,VALWOX_clean,4.458839691,3.381377454,0.740867704,0.654970802,0.209374013,0.034184438,10.00499,6.00632,1479.31,1920.93,0.886918,0.683019,61.26923077,1.077462237,145.3494477,2.64050975,
2283,UMOBEF06_clean,4.942462626,3.308154984,0.698942344,1.037027169,0.209492478,0.032800288,9.73892,6.12776,2452.81,3479.6,1.00395,0.707695,42.89392309,1.634307642,142.121546,2.60921264,
2113,SITFUY_clean,5.504,4.378185951,1.805804061,1.1008,0.250182054,0.043066339,18.15702,9.20943,1857.59,1847.62,0.752455,0.756516,45,1.12581405,157.5,2.57238189,
101,ATEZEG_clean,5.06693891,3.110438073,0.618373025,0.524685771,0.200508236,0.031865872,10.12518,7.5272,2354.97,3036.42,0.938092,0.72756,86.91383054,1.956500837,139.6149266,2.492065048,
